problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular,Symbolica
11,0.00592579,1.154,0.023477,0.030284,0.05698754,0.21,0.012849
12,0.0037703,0.872,0.017476,0.03277,0.046884778,0.20400000000000001,0.010773
13,0.00444605,0.917,0.020314,0.029145,0.05177782,0.252,0.012355
14,0.0037692,0.783,0.021759,0.025896,0.073468589,1.339,0.010386
15,0.0040638,0.967,0.021531,0.028963,0.053829802,0.212,0.012094
16,0.00366614,0.864,0.016327,0.025511,0.037456743,0.17400000000000002,0.009899
17,0.00440071,1.102,0.017167,0.027829,0.033347245,0.184,0.009674
18,0.00457146,0.777,0.018956,0.028683,0.042676027,0.20500000000000002,0.011775
19,0.0041089,0.786,0.019422,0.024668,0.045703558,2.846,0.011006
20,0.00376495,0.534,0.015849,0.024579,0.040071834,0.189,0.010511
21,0.00459874,1.451,0.024173,0.035473,0.057541204,0.254,0.015637
22,0.00358653,0.977,0.017253,0.030963,0.034404147,1.545,0.010663
23,0.00373737,1.108,0.019503,0.027241,0.037364869,0.20400000000000001,0.010498
24,0.00475588,0.64,0.022106,0.028384,0.062584704,0.22,0.010383
25,0.00409219,0.201,0.018447,0.026219,0.039469286,1.3840000000000001,0.010198
26,0.00374143,1.106,0.021952,0.031516,0.045294752,1.867,0.010799
27,0.00356675,0.792,0.022306,0.027628,0.050138945,0.23700000000000002,0.012211
28,0.00399896,0.728,0.021438,0.026324,0.043330043,0.199,0.010728
29,0.00386284,0.633,0.019938,0.027241,0.036860469,0.23700000000000002,0.008884
30,0.00293277,0.711,0.015092,0.018455,0.02713612,0.157,0.007738
31,0.00409895,0.242,0.020279,0.034202,0.044939716,0.201,0.009841
32,0.00405973,1.233,0.016811,0.024808,0.036590534,0.188,0.010647
33,0.00380915,1.29,0.023218,0.039067,0.050064491,0.229,0.011684
34,0.00485772,0.912,0.023393,0.03167,0.045160201,0.227,0.013546
35,0.00534455,1.798,0.024536,0.028883,0.045354904,0.27,0.011761
36,0.00473899,0.909,0.019717,0.033386,0.035022561,0.203,0.010357
37,0.00359318,1.136,0.015603,0.029243,0.028626714,0.201,0.009658
38,0.00435128,0.941,0.020856,0.032624,0.04084649,0.243,0.010892
39,0.0045625,1.546,0.024337,0.044034,0.053038392,3.1510000000000002,0.016989
40,0.00382384,1.055,0.020317,0.030112,0.046633081,0.217,0.012145
41,0.00471344,1.059,0.024795,0.03059,0.053180063,0.26,0.013332
42,0.00406282,0.879,0.018022,0.024638,0.040466478,1.7610000000000001,0.010715
43,0.00428603,0.754,0.022457,0.028173,0.05323385,0.221,0.012706
44,0.00407635,1.016,0.022702,0.030495,0.048887593,1.938,0.01261
45,0.00403258,1.61,0.023474,0.033294,0.049023427,0.258,0.015653
46,0.00351893,0.038,0.018177,0.029812,0.03376634,2.467,0.010589
47,0.0040324,0.749,0.018075,0.021497,0.031821166,1.3940000000000001,0.009476
48,0.00336378,0.764,0.014661,0.024414,0.03035093,1.7790000000000001,0.00839
49,0.0052955,1.217,0.022932,0.035367,0.041543755,2.919,0.012549
50,0.00503383,1.063,0.02079,0.032735,0.043001556,0.225,0.010581
51,0.00434528,0.506,0.016883,0.02397,0.032404684,0.184,0.00844
52,0.00410744,0.785,0.019287,0.02307,0.030987757,0.179,0.008102
53,0.00395303,0.836,0.020166,0.030946,0.035894892,0.265,0.010019
54,0.00385624,0.259,0.016921,0.025359,0.032378787,0.17200000000000001,0.009423
55,0.00548053,0.908,0.022394,0.029835,0.040184357,1.881,0.01175
56,0.00379301,0.734,0.017599,0.023423,0.033289032,0.191,0.009488
57,0.00304445,0.426,0.015637,0.01861,0.028775213,1.414,0.007187
58,0.00444904,0.634,0.017127,0.021029,0.031175762,0.17,0.008639
59,0.00487935,1.074,0.021555,0.027382,0.042484526,0.209,0.010796
60,0.00414642,0.893,0.020602,0.028857,0.036242583,1.561,0.011541
61,0.00401449,0.834,0.019145,0.03058,0.042573225,0.201,0.012294
62,0.00385961,1.126,0.022312,0.025124,0.042020735,0.214,0.011553
63,0.00485931,1.619,0.024739,0.034203,0.056965386,2.583,0.015425
64,0.00390357,0.889,0.020249,0.031887,0.042554991,0.197,0.011186
65,0.00336096,0.032,0.016565,0.020129,0.040137937,1.441,0.011528
66,0.0041929,0.952,0.023755,0.034502,0.044514375,1.9060000000000001,0.012983
67,0.00366535,0.668,0.016821,0.023164,0.036938285,0.188,0.01008
68,0.00464381,1.306,0.023131,0.032486,0.054626908,0.243,0.013513
69,0.00389657,0.941,0.016962,0.030712,0.033032948,0.198,0.01041
70,0.00447501,1.148,0.021478,0.028342,0.039224176,0.229,0.011607
71,0.00371389,0.507,0.016585,0.021522,0.028524441,0.163,0.008192
72,0.00330117,0.647,0.016902,0.021142,0.031926177,0.17200000000000001,0.00894
73,0.00374906,1.057,0.021575,0.032988,0.047394817,0.233,0.012599
74,0.0037873,0.771,0.018684,0.026963,0.042193027,0.17200000000000001,0.010814
75,0.00384057,1.02,0.019777,0.025558,0.036616552,0.209,0.011778
76,0.00537618,0.327,0.022731,0.028413,0.040472823,0.225,0.011552
77,0.00519627,1.265,0.021835,0.027576,0.043582901,2.043,0.011407
78,0.00340116,0.706,0.017729,0.032781,0.037008612,0.20500000000000002,0.009743
79,0.00492576,0.722,0.020426,0.031841,0.034151348,0.22,0.010945
80,0.00369595,0.957,0.018138,0.027498,0.033291933,0.20400000000000001,0.008919
81,0.00430736,0.932,0.020672,0.031117,0.048066772,2.694,0.013022
82,0.0043709,0.784,0.01794,0.025305,0.033436977,1.605,0.009791
83,0.00456013,1.062,0.019118,0.029786,0.041785763,0.223,0.011499
84,0.00414985,1.184,0.018796,0.025021,0.033149921,0.19,0.011036
85,0.00367739,0.856,0.020152,0.02734,0.041788653,1.159,0.01043
86,0.00381191,0.815,0.021105,0.025801,0.039251915,0.19,0.011251
87,0.00503378,1.072,0.017089,0.026505,0.034425318,0.168,0.010535
