problem_number,FORM,Mathematica,reFORM,Rings,Singular
11,1.445,0.046225,0.045486,0.050508646,0.16
12,0.864,0.04348,0.038084,0.043104224,0.15
13,0.468,0.029868,0.027972,0.028964698,0.11
14,1.508,0.043671,0.040319,0.028153868,1.57
15,1.203,0.041773,0.03039,0.027705494,0.13
16,1.13,0.042128,0.03509,0.03855873,0.13
17,0.721,0.031788,0.027003,0.025855916,0.11
18,0.734,0.028492,0.023453,0.020515927,0.12
19,0.614,0.03435,0.031472,0.02402304,0.1
20,0.446,0.027822,0.02447,0.021601056,0.09
21,0.529,0.034349,0.024232,0.023795425,0.11
22,0.691,0.036057,0.030684,0.025980603,0.13
23,0.02,0.027783,0.022921,0.019774681,0.1
24,1.047,0.033948,0.025389,0.022060385,0.11
25,0.024,0.031967,0.031979,0.024223498,0.12
26,0.959,0.039464,0.036355,0.021810649,0.13
27,0.524,0.035103,0.029771,0.024069149,0.14
28,0.833,0.042337,0.032349,0.030946838,0.16
29,1.334,0.048139,0.035864,0.03086103,2.15
30,1.302,0.043734,0.029969,0.023156695,0.14
31,0.815,0.046301,0.031521,0.026463637,0.17
32,1.14,0.049652,0.037993,0.029502737,2.43
33,0.925,0.038204,0.028768,0.025610923,0.14
34,0.758,0.040072,0.039344,0.025901084,2.33
35,0.724,0.034108,0.02593,0.020166043,0.12
36,2.126,0.035601,0.027938,0.023343661,0.12
37,1.586,0.042289,0.042466,0.027318127,0.17
38,0.781,0.043319,0.033983,0.026574729,0.14
39,0.59,0.038265,0.026352,0.019441783,1.18
40,1.194,0.036736,0.027441,0.02369164,0.13
41,0.135,0.048399,0.031687,0.033987452,0.13
42,0.657,0.037416,0.031708,0.044105121,0.14
43,0.606,0.034666,0.03058,0.029649075,0.13
44,0.781,0.041588,0.033348,0.040138097,0.14
45,0.765,0.028439,0.024816,0.028170672,1.1500000000000001
46,0.984,0.041124,0.038889,0.0421826,0.14
47,0.155,0.033158,0.027563,0.030900895,1.42
48,0.749,0.031788,0.028969,0.03047265,0.14
49,0.956,0.0435,0.031928,0.036361438,0.14
50,1.215,0.047975,0.031913,0.047956349,0.15
51,0.958,0.030624,0.027845,0.026163621,0.13
52,1.643,0.045033,0.035682,0.025158875,1.97
53,0.691,0.038018,0.029696,0.025555284,0.13
54,1.753,0.044898,0.033682,0.024380546,0.19
55,1.021,0.041096,0.03121,0.022936798,0.16
56,0.85,0.059801,0.04042,0.032592529,0.19
57,1.261,0.042363,0.035841,0.025860953,0.13
58,0.634,0.030008,0.029011,0.021198738,1.53
59,1.134,0.044762,0.035907,0.030249837,0.15
60,1.273,0.04633,0.04155,0.027595997,0.16
