problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00214413,0.411,0.014641,0.024774693,0.058,0.042222
12,0.00240694,0.15,0.012817,0.020078317,0.046,0.025575
13,0.00206713,0.702,0.011624,0.016215622,0.056,0.03057
14,0.0020833,0.24,0.016076,0.021689798,0.137,0.029317
15,0.0019628,0.387,0.018087,0.023678423,0.07100000000000001,0.03209
16,0.00185419,0.423,0.015868,0.022587157,0.056,0.028778
17,0.0023159,0.169,0.013216,0.018929343,0.051000000000000004,0.041258
18,0.00202785,0.238,0.010983,0.018241714,0.041,0.028661
19,0.00218196,0.311,0.01409,0.021474934,0.047,0.031735
20,0.00235442,0.181,0.012611,0.018749592,0.038,0.031104
21,0.00201233,0.278,0.013341,0.024203476,0.063,0.032164
22,0.00225193,0.245,0.012541,0.016639057,0.219,0.027566
23,0.00231982,0.307,0.011083,0.017363552,0.044,0.028014
24,0.00216647,0.322,0.013553,0.013830344,0.047,0.023755
25,0.000883116,0.205,0.008918,0.012369013,0.037,0.030694
26,0.00214713,0.697,0.013775,0.016437414,0.137,0.020454
27,0.00224087,0.192,0.015658,0.018427639,0.053,0.025478
28,0.00192688,0.533,0.014528,0.017425764,0.061,0.033071
29,0.00187826,0.199,0.015531,0.01820513,0.156,0.024707
30,0.00186481,0.156,0.011488,0.013454169,0.061,0.042148
31,0.00201823,0.28,0.01321,0.016737121,0.064,0.030207
32,0.002295,0.537,0.01347,0.012855822,0.05,0.02849
33,0.00187778,0.353,0.014635,0.018802238,0.074,0.047223
34,0.00198327,0.356,0.015477,0.018059841,0.07100000000000001,0.027885
35,0.00193105,0.246,0.013767,0.015683576,0.055,0.031386
36,0.0024101,0.451,0.013454,0.013225155,0.046,0.024048
37,0.00209419,0.261,0.010299,0.012339305,0.047,0.077701
38,0.00271954,0.415,0.013248,0.013295996,0.047,0.024863
39,0.00218471,0.328,0.012842,0.015739779,0.058,0.044817
40,0.00176548,0.494,0.013342,0.019617937,0.05,0.029049
41,0.00184487,0.39,0.017062,0.017856906,0.058,0.035127
42,0.00256935,0.1,0.010139,0.012989293,0.031,0.027248
43,0.00204164,0.175,0.014018,0.014430575,0.128,0.042151
44,0.00183408,0.213,0.015726,0.017186425,0.074,0.030961
45,0.00236364,0.877,0.016676,0.016025264,0.06,0.072115
46,0.00222693,0.413,0.014857,0.016730767,0.067,0.032477
47,0.00184175,0.221,0.016432,0.017883714,0.14100000000000001,0.02922
48,0.00245912,0.196,0.01115,0.012897307,0.042,0.02866
49,0.00201692,0.306,0.013751,0.014225358,0.061,0.036329
50,0.00204852,0.337,0.012508,0.013136291,0.059000000000000004,0.047727
51,0.00212747,0.294,0.013475,0.013673854,0.045,0.036205
52,0.00216518,0.276,0.01178,0.013829648,0.057,0.024041
53,0.00202395,0.996,0.013549,0.014374532,0.047,0.030924
54,0.00238275,0.96,0.013003,0.01471432,0.063,0.042393
55,0.0023137,0.662,0.01228,0.013366267,0.054,0.028656
56,0.00192993,0.439,0.011668,0.013740419,0.056,0.023923
57,0.00206983,0.347,0.011694,0.012164032,0.188,0.018588
58,0.00218223,0.59,0.01468,0.01503666,0.046,0.075696
59,0.00198254,0.377,0.012338,0.013820912,0.051000000000000004,0.054388
60,0.0023984,0.178,0.013919,0.013096563,0.045,0.030955
61,0.00227716,0.891,0.015722,0.017081182,0.069,0.036306
62,0.00202868,0.471,0.013163,0.01662276,0.055,0.093552
63,0.000753612,0.422,0.014795,0.017679578,0.052000000000000005,0.054356
64,0.000666874,0.74,0.013798,0.016573126,0.054,0.038973
65,0.00224703,0.322,0.012589,0.013698667,0.046,0.029742
66,0.00192542,0.487,0.01319,0.016031101,0.082,0.031347
67,0.00200433,0.151,0.011817,0.012822299,0.054,0.021142
68,0.0021744,0.173,0.015877,0.017096729,0.057,0.042453
69,0.00230344,0.205,0.011782,0.014082691,0.051000000000000004,0.029802
70,0.00212367,0.458,0.015981,0.015337326,0.064,0.029933
71,0.00194405,0.249,0.010895,0.012390276,0.06,0.029192
72,0.00206704,0.438,0.013635,0.013153947,0.055,0.039544
73,0.002454,0.214,0.011405,0.011786811,0.05,0.02769
74,0.00245682,0.369,0.013352,0.012077159,0.06,0.025207
75,0.001811,0.569,0.014456,0.014492043,0.248,0.045167
76,0.00220178,0.363,0.011399,0.013071609,0.05,0.027428
77,0.0021197,0.22,0.013008,0.014311964,0.057,0.028863
78,0.00183558,0.326,0.01298,0.014242488,0.062,0.045232
79,0.00218455,0.132,0.011463,0.012248332,0.053,0.023361
80,0.00216638,0.428,0.013882,0.013503444,0.213,0.025341
81,0.00221852,0.327,0.01255,0.013279274,0.042,0.033897
82,0.000778014,0.442,0.010588,0.011426452,0.109,0.0265
83,0.00212785,0.194,0.01462,0.016340267,0.068,0.044542
84,0.00226334,0.287,0.014109,0.015358693,0.054,0.033649
85,0.00205342,0.652,0.01193,0.013447605,0.042,0.027025
86,0.00197942,0.141,0.012827,0.015240733,0.063,0.026974
87,0.00234654,0.272,0.011096,0.012156109,0.042,0.03269
88,0.00195275,0.086,0.012083,0.015454535,0.07,0.025937
89,0.00207689,0.516,0.017122,0.017530253,0.058,0.04213
90,0.0018531,0.458,0.015159,0.018071043,0.08700000000000001,0.034689
91,0.00203437,0.449,0.014228,0.014654279,0.061,0.02475
92,0.00226686,0.432,0.012145,0.01190931,0.043000000000000003,0.026388
93,0.0020761,1.57,0.01717,0.018025111,0.064,0.035014
94,0.00175107,0.402,0.013962,0.015776618,0.065,0.026255
95,0.00266844,0.238,0.012725,0.013033065,0.051000000000000004,0.031939
96,0.00202936,0.571,0.017966,0.015750345,0.052000000000000005,0.040488
97,0.002011,0.079,0.013914,0.01502372,0.05,0.033542
98,0.00200544,0.41,0.019196,0.01819648,0.1,0.032141
99,0.00233659,0.306,0.01585,0.014430789,0.062,0.035123
100,0.00202,0.379,0.012308,0.010613733,0.05,0.019493
101,0.00211124,0.381,0.01277,0.012670789,0.212,0.022647
102,0.00203508,0.249,0.011095,0.011180591,0.043000000000000003,0.031935
103,0.0020392,0.449,0.014587,0.014010119,0.048,0.04076
104,0.00234347,0.28,0.015222,0.014401963,0.046,0.023496
105,0.00200438,0.421,0.013561,0.012965154,0.048,0.051017
106,0.00205288,0.142,0.013343,0.012052384,0.043000000000000003,0.028323
107,0.00222404,0.57,0.014019,0.012851672,0.048,0.028602
108,0.00201818,0.217,0.014188,0.016477316,0.064,0.031319
109,0.0017241,0.351,0.013727,0.015761809,0.061,0.033648
110,0.00208296,0.665,0.01223,0.0125519,0.05,0.029734
111,0.00197621,0.288,0.01315,0.015767658,0.045,0.031171
112,0.00214109,0.206,0.014836,0.015259944,0.059000000000000004,0.034505
113,0.00208427,0.511,0.013148,0.013236169,0.054,0.027605
114,0.00221237,0.713,0.016152,0.015594439,0.062,0.025585
115,0.00230322,0.359,0.013644,0.014808106,0.048,0.021581
116,0.00173536,0.225,0.012298,0.011666979,0.049,0.027825
117,0.00238024,0.163,0.015241,0.013789672,0.058,0.024116
118,0.00226437,0.335,0.011778,0.013582901,0.068,0.044087
119,0.00212323,0.281,0.012792,0.011907269,0.191,0.033479
120,0.00224363,0.3,0.014168,0.013651237,0.054,0.024985
121,0.00213826,0.678,0.012388,0.014227907,0.057,0.039948
122,0.00172708,0.534,0.015157,0.015607723,0.061,0.068008
123,0.00230474,0.29,0.012607,0.013257746,0.057,0.027178
124,0.00203992,0.255,0.01352,0.016483149,0.057,0.077048
125,0.00206825,0.511,0.014362,0.014568399,0.048,0.035017
126,0.00210661,0.402,0.013371,0.012914355,0.043000000000000003,0.030082
127,0.00273473,0.467,0.014774,0.014282133,0.041,0.037016
128,0.0023976,0.488,0.012908,0.013999647,0.043000000000000003,0.045368
129,0.00184143,0.243,0.015357,0.016872729,0.061,0.03954
130,0.00245114,0.289,0.012096,0.015024396,0.048,0.034243
131,0.0022743,0.664,0.012857,0.013725782,0.127,0.040463
132,0.00229172,0.351,0.014606,0.013767398,0.049,0.031999
133,0.00190386,0.454,0.01407,0.016377358,0.272,0.027805
134,0.00212506,0.26,0.012331,0.013374897,0.04,0.022759
135,0.00192376,0.085,0.01202,0.012935994,0.059000000000000004,0.030543
136,0.00185351,0.401,0.01439,0.016671024,0.1,0.032044
137,0.00212837,0.626,0.010764,0.013022628,0.045,0.028161
138,0.00224466,0.499,0.013717,0.015363519,0.128,0.021118
139,0.00209588,0.304,0.015751,0.015198416,0.057,0.039687
140,0.00208628,0.377,0.013988,0.014984721,0.056,0.024205
141,0.00206521,0.124,0.0128,0.013461346,0.133,0.028403
142,0.00222851,0.289,0.010538,0.010133485,0.038,0.023973
143,0.00218274,0.186,0.010836,0.011169551,0.051000000000000004,0.022154
144,0.00192115,0.309,0.012376,0.016123303,0.23,0.02794
145,0.00215288,0.272,0.014938,0.015580516,0.049,0.033975
146,0.00215348,0.452,0.013641,0.013403741,0.044,0.025109
147,0.00220629,0.158,0.012496,0.012114189,0.042,0.030479
148,0.00209898,0.671,0.01385,0.017072672,0.055,0.034003
149,0.00237055,0.232,0.0115,0.012065173,0.046,0.041196
150,0.00227557,0.353,0.012849,0.013977099,0.075,0.030376
151,0.00213929,0.386,0.012038,0.013250628,0.063,0.027172
