problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00215515,0.081,0.011841,0.017788511,0.029,0.01908
12,0.00199735,0.131,0.008832,0.017074515,0.037,0.013679
13,0.000611144,0.091,0.006109,0.014072751,0.021,0.074341
14,0.00176312,0.079,0.012023,0.020820534,0.023,0.015466
15,0.00144536,0.071,0.008562,0.032332999,0.016,0.016031
16,0.00306892,0.075,0.009809,0.02045983,0.04,0.022144
17,0.00203881,0.018,0.009073,0.013712082,0.023,0.007069
18,0.00202303,0.124,0.010185,0.018747937,0.03,0.019577
19,0.00279395,0.143,0.010885,0.01950124,0.016,0.019088
20,0.00259735,0.023,0.011195,0.01926135,0.023,0.018348
21,0.00372476,0.223,0.00949,0.015691611,1.119,0.01396
22,0.0022155,0.089,0.01193,0.017411865,0.022,0.025399
23,0.000751255,0.029,0.005828,0.014755978,0.017,0.016059
24,0.00240163,0.114,0.011713,0.015201256,0.021,0.021402
25,0.0024109,0.054,0.011575,0.014129086,0.027,0.008723
26,0.0021314,0.037,0.008514,0.013492128,0.018000000000000002,0.017988
27,0.00180075,0.081,0.009336,0.015172775,0.031,0.01514
28,0.00203608,0.078,0.009996,0.015534351,0.015,0.013206
29,0.00151546,0.122,0.009744,0.015602627,0.053,0.018212
30,0.00148018,0.148,0.009224,0.010262481,0.022,0.015727
31,0.00152462,0.073,0.012075,0.013141985,0.03,0.013362
32,0.00302722,0.059,0.010414,0.01005117,0.016,0.017839
33,0.00110199,0.026,0.009834,0.023421366,0.027,0.095663
34,0.00132986,0.007,0.008498,0.011195391,0.015,0.010396
35,0.000669694,0.103,0.008381,0.011295237,0.024,0.011278
36,0.00623175,0.025,0.013,0.012044235,0.019,0.011525
37,0.00185682,0.205,0.013209,0.013974876,0.032,0.015015
38,0.00168335,0.097,0.009719,0.014907871,0.029,0.0175
39,0.0012797,0.17,0.007452,0.008799057,0.026000000000000002,0.011668
40,0.000551915,0.027,0.007927,0.009040605,0.019,0.005244
41,0.000617899,0.113,0.007453,0.012370835,0.024,0.016063
42,0.00120694,0.126,0.008581,0.012962373,0.03,0.017741
43,0.00210093,0.031,0.008933,0.011803665,0.039,0.015259
44,0.00297585,0.045,0.012247,0.015481211,0.043000000000000003,0.018018
45,0.00186797,0.045,0.009903,0.0124978,0.019,0.015883
46,0.00181621,0.091,0.009424,0.015432636,0.053,0.023111
47,0.00219715,0.084,0.010403,0.013202864,0.03,0.020355
48,0.00128031,0.045,0.008369,0.01235427,0.02,0.015971
49,0.00432245,0.047,0.009866,0.012719314,0.021,0.016321
50,0.00327827,0.09,0.009789,0.011299793,0.035,0.02035
51,0.00406161,0.041,0.01006,0.011611342,0.017,0.013315
52,0.000796889,0.034,0.007581,0.013895457,0.022,0.018326
53,0.00178679,0.376,0.008213,0.011405353,0.024,0.017271
54,0.00283994,0.046,0.00947,0.02364562,0.032,0.019552
55,0.00444122,0.014,0.01303,0.014568532,0.023,0.019896
56,0.0014295,0.12,0.011551,0.012647673,0.027,0.014884
57,0.00266191,0.039,0.01022,0.012863834,0.032,0.018337
58,0.0013676,0.056,0.007858,0.010413138,0.02,0.008192
59,0.00219802,0.093,0.008772,0.010678766,0.023,0.015774
60,0.000648806,0.044,0.005733,0.007164208,0.014,0.015413
61,0.00176761,0.121,0.011063,0.014334631,0.033,0.021694
62,0.00394388,0.046,0.012313,0.011337664,0.033,0.017619
63,0.00194791,0.18,0.011089,0.012319516,0.024,0.017973
64,0.00155906,0.151,0.011522,0.013115823,0.027,0.017983
65,0.00214413,0.078,0.008618,0.010202032,0.022,0.014599
66,0.00232909,0.218,0.01212,0.013390075,0.026000000000000002,0.016593
67,0.00162922,0.082,0.01163,0.013185852,0.038,0.014811
68,0.00206168,0.106,0.008436,0.013438811,0.021,0.01807
69,0.00172491,0.029,0.00817,0.012097247,0.032,0.015655
70,0.00182409,0.085,0.009696,0.011488648,0.027,0.019343
71,0.00966846,0.121,0.019851,0.013183179,0.041,0.021641
72,0.00115123,0.049,0.00821,0.010220588,0.023,0.011726
73,0.00247372,0.06,0.011301,0.012140819,0.026000000000000002,0.014829
74,0.00163071,0.073,0.008188,0.021115207,0.112,0.019516
