problem_number,FLINT,FORM,Mathematica,Rings,Singular
11,0.00624837,0.434,0.012076,0.13201816,0.049
12,0.00450921,0.66,0.009362,0.154804162,0.099
13,0.00420162,0.805,0.009417,0.163696705,0.522
14,0.0093564,0.917,0.01358,0.092281381,0.077
15,0.00515985,0.332,0.010321,0.148508997,0.073
16,0.000517163,0.155,0.005096,0.014600647,0.023
17,0.000368962,1.138,0.004379,0.043704487,0.008
18,0.00986064,14.76,0.016782,0.147950285,0.06
19,0.00510265,0.287,0.008927,0.111165003,0.108
20,0.0141346,0.767,0.019694,0.123054384,0.117
21,0.00317995,0.564,0.009337,0.180401714,0.083
22,0.00042636,0.909,0.004979,0.013722445,0.046
23,0.0157284,0.205,0.022496,0.138636836,0.068
24,0.00870307,0.581,0.014204,0.152904989,0.1
25,0.0129922,0.603,0.01992,0.07659194,0.07
26,0.0041425,0.548,0.00924,0.143715697,0.512
27,0.00463304,1.88,0.010043,0.172681391,0.083
28,0.00618042,0.131,0.012475,0.452584031,0.783
29,0.0112891,1.142,0.019536,0.126284859,0.077
30,0.00975451,0.395,0.016007,0.114071872,0.062
31,0.000496341,0.54,0.005613,0.010388269,0.064
32,0.0110184,0.459,0.016853,0.131682035,0.47000000000000003
33,0.000516984,0.166,0.006206,0.010434816,0.017
34,0.000397017,0.159,0.004362,0.006551673,0.031
35,0.00427626,0.227,0.010176,0.153462656,0.36
36,0.000363813,0.559,0.006963,0.011532872,0.019
37,0.000435323,0.226,0.006433,0.010939013,0.007
38,0.00901719,0.28,0.013388,0.091572828,0.076
39,0.000854687,0.437,0.005238,0.109585003,0.41200000000000003
40,0.0148706,0.994,0.022791,0.113905435,0.07200000000000001
41,0.000556715,0.51,0.004466,0.007578844,0.019
42,0.00876366,0.251,0.016537,0.117641285,0.063
43,0.0155051,0.529,0.023916,0.160398918,0.117
44,0.0100016,1.55,0.014207,0.089056134,0.05
45,0.00044048,0.708,0.005088,0.01955345,0.023
46,0.0114848,0.744,0.018793,0.088701035,0.058
47,0.0048714,3.096,0.010985,0.119003635,0.054
48,0.0122361,0.508,0.018365,0.156570161,0.083
49,0.0158692,0.263,0.021656,0.121201789,0.111
50,0.00251907,0.447,0.006127,0.134076922,0.085
51,0.00422902,0.545,0.008609,0.110928458,0.074
52,0.0128237,0.187,0.018789,0.085410997,0.056
53,0.0112309,0.96,0.017074,0.128446547,0.8190000000000001
54,0.00764476,1.311,0.014654,0.100474585,0.077
55,0.0131968,0.854,0.021917,0.109435406,0.064
56,0.0030828,0.098,0.007569,0.101821437,0.076
57,0.000633696,0.071,0.006095,0.012525182,0.021
58,0.0106523,4.537,0.015796,0.090251309,0.374
59,0.00349579,0.202,0.007882,0.113215529,0.20600000000000002
60,0.00896128,0.025,0.015139,0.078899922,0.053
61,0.0109543,0.454,0.016169,0.110551074,0.07100000000000001
62,0.00506815,0.6,0.009692,0.122831151,0.111
63,0.000456939,0.239,0.004696,0.009606705,0.021
64,0.00096855,0.311,0.005037,0.008985934,0.031
65,0.000418901,0.634,0.005616,0.019118992,0.018000000000000002
66,0.000556234,0.163,0.006243,0.022369881,0.021
67,0.0109489,0.296,0.017066,0.113539261,0.084
68,0.010174,0.637,0.017337,0.12561219,0.081
69,0.00153977,0.201,0.005184,0.017146395,0.051000000000000004
70,0.0123852,0.402,0.018247,0.138887003,0.097
71,0.000313318,2.77,0.005285,0.017740894,0.02
72,0.00632386,0.283,0.011571,0.136187947,0.127
73,0.00413976,0.612,0.008272,0.132169205,0.117
74,0.000456368,1.069,0.005369,0.018734223,0.012
75,0.012815,1.028,0.019204,0.094763176,0.057
76,0.000473659,35.083,0.005353,0.014984475,0.037
77,0.00172791,0.447,0.007959,0.024897643,0.064
78,0.0154224,1.018,0.021521,0.103726441,0.092
79,0.00455775,15.329,0.009856,0.14997447,0.40900000000000003
80,0.00319445,1.087,0.009741,0.340967687,0.056
81,0.000828848,0.503,0.005005,0.017509596,0.035
82,0.000501644,2.516,0.005694,0.010606251,0.027
83,0.000380884,0.674,0.004278,0.008395596,0.027
84,0.0133721,0.538,0.019371,0.13438928,0.074
85,0.0143014,0.441,0.019789,0.162241761,0.109
86,0.0108398,0.827,0.016354,0.134305023,0.068
87,0.000425999,0.446,0.005672,0.018929853,0.011
88,0.00259794,4.029,0.007918,0.106375243,0.05
89,0.000720625,0.585,0.005326,0.016661115,0.052000000000000005
90,0.000346313,1.041,0.004735,0.00826583,0.014
91,0.00599473,0.298,0.013217,0.102529396,0.085
92,0.00040555,0.415,0.005138,0.010584061,0.091
93,0.0103486,0.605,0.015981,0.105926385,0.08600000000000001
94,0.0163105,0.68,0.020936,0.127231576,0.094
95,0.0207954,0.123,0.028554,0.097603084,0.058
96,0.00940481,0.735,0.016614,0.102193891,0.054
97,0.000312923,0.401,0.004676,0.00848042,0.014
98,0.0111305,0.469,0.017405,0.144095609,0.077
99,0.00221931,0.457,0.006259,0.109980178,0.092
100,0.000431431,0.411,0.006405,0.011247582,0.027
101,0.000611216,0.476,0.005314,0.017536905,0.02
102,0.01297,0.512,0.017785,0.169847651,0.1
103,0.0104607,0.152,0.015822,0.084548598,0.056
104,0.00264465,0.715,0.007502,0.116261002,0.064
105,0.000341171,0.859,0.003984,0.014883117,0.007
106,0.0132299,0.048,0.018918,0.090679663,0.073
107,0.000568238,0.741,0.003922,0.009131353,0.019
108,0.00613786,0.325,0.012671,0.229790757,0.19
109,0.00386583,0.493,0.009654,0.303527622,0.116
110,0.0158942,0.25,0.021274,0.112011087,2.265
111,0.00189436,0.364,0.005917,0.017739225,0.066
112,0.0028327,0.284,0.006253,0.136947456,0.095
113,0.00495723,0.34,0.01149,0.108133553,0.199
114,0.000410273,0.25,0.003731,0.007283569,0.01
115,0.00899591,0.108,0.016305,0.090338483,0.056
116,0.0103861,0.454,0.016633,0.153188388,0.052000000000000005
117,0.0117928,0.403,0.018961,0.132150392,0.082
118,0.00832262,0.211,0.012324,0.119961445,0.074
119,0.00170115,1.157,0.005859,0.098833829,0.073
120,0.00107276,0.303,0.00668,0.018100312,0.052000000000000005
121,0.00179305,0.512,0.006088,0.022983519,0.037
122,0.000863178,0.419,0.006172,0.010807651,0.018000000000000002
123,0.0090271,0.423,0.015511,0.134094496,0.063
124,0.00256139,1.184,0.007564,0.159564734,0.073
125,0.00241905,0.667,0.006463,0.10924583,0.091
126,0.00105155,0.211,0.006231,0.017846066,0.062
127,0.000329977,0.855,0.004645,0.00911047,0.023
128,0.00692689,0.389,0.011878,0.144897906,0.459
129,0.00559607,0.252,0.010921,0.080653275,0.061
130,0.00997331,0.739,0.015659,0.127362084,0.059000000000000004
131,0.0138899,0.51,0.019487,0.108515856,0.098
132,0.00944918,0.517,0.017295,0.118309227,0.093
133,0.00166501,0.336,0.006149,0.118606704,0.079
134,0.000380767,0.223,0.004389,0.008113966,0.017
135,0.00314024,0.595,0.007101,0.13148159,0.457
136,0.00358978,0.377,0.009613,0.133176972,0.121
137,0.00211037,0.737,0.007956,0.1417511,0.064
138,0.000530788,0.16,0.01005,0.01331166,0.023
139,0.00519361,1.442,0.011802,0.18196388,0.6970000000000001
140,0.000372653,0.534,0.006541,0.01211224,0.023
141,0.00273813,0.317,0.00674,0.11627851,0.078
142,0.000820728,0.351,0.005293,0.008515646,0.014
143,0.00131536,0.209,0.006265,0.015800288,0.053
144,0.00949787,0.936,0.016008,0.090605744,0.06
145,0.000439839,0.385,0.005365,0.009814873,0.012
146,0.00667284,45.519,0.011985,0.121842802,0.11
147,0.0012854,0.594,0.007948,0.022096065,0.009000000000000001
148,0.0128405,1.612,0.018078,0.106838092,0.908
149,0.00030458,0.744,0.003758,0.007582183,0.031
150,0.0077199,0.371,0.010743,0.127259681,0.393
151,0.0100725,0.681,0.016095,0.141686508,0.089
152,0.0028564,19.42,0.006347,0.10805733,0.055
153,0.00294876,0.777,0.008428,0.118672617,0.082
154,0.0230849,0.225,0.030574,0.078942267,0.054
155,0.00335279,0.696,0.007866,0.076473677,0.057
156,0.000720657,0.698,0.007039,0.010920509,0.039
157,0.0148468,0.219,0.023544,0.109491331,0.09
158,0.000507934,0.099,0.006786,0.011433837,0.022
159,0.0116119,0.912,0.016446,0.124000163,0.078
160,0.000882068,0.678,0.004843,0.013892449,0.022
161,0.0164607,1.034,0.024583,0.097079897,0.065
162,0.00917755,0.269,0.015022,0.115308738,0.34400000000000003
163,0.00132658,0.326,0.005478,0.01538607,0.063
164,0.017763,1.025,0.022883,0.104457064,0.058
165,0.000776029,0.998,0.005502,0.022803911,0.016
166,0.000526926,0.516,0.007407,0.01951518,0.028
167,0.000442373,1.921,0.004868,0.008594191,0.01
168,0.00786367,0.606,0.013286,0.181337444,0.506
169,0.000933274,1.046,0.008557,0.01696438,0.048
170,0.0233538,0.311,0.030622,0.104881741,0.07
171,0.00118492,0.56,0.006216,0.018625322,0.045
172,0.00221149,0.473,0.007355,0.114580017,0.07100000000000001
173,0.0102931,6.175,0.01539,0.131693349,0.09
174,0.00521989,0.36,0.009757,0.126806941,0.32
175,0.0099762,0.507,0.015895,0.132994531,0.085
176,0.0125123,1.839,0.017802,0.096041607,0.1
177,0.00281088,0.292,0.007704,0.154402472,0.084
178,0.00341382,0.074,0.006973,0.092372311,0.063
179,0.000437389,0.461,0.005121,0.020200604,0.013000000000000001
180,0.000513462,1.005,0.007309,0.011299259,0.024
181,0.0126051,0.963,0.018239,0.081885905,0.069
182,0.0030445,14.306,0.01347,0.119294224,0.079
183,0.0137909,0.795,0.021875,0.098560605,0.059000000000000004
184,0.00532972,0.621,0.009877,0.097384327,0.047
185,0.00955344,21.203,0.015533,0.118558991,0.386
186,0.00584,0.246,0.011828,0.133817096,0.07100000000000001
187,0.00727727,0.409,0.01271,0.156433819,0.08700000000000001
188,0.000435489,0.849,0.005075,0.018430487,0.018000000000000002
189,0.000407403,0.405,0.007191,0.010365542,0.018000000000000002
190,0.00571537,0.441,0.012621,0.106363769,0.08
191,0.000455822,0.109,0.007925,0.022484834,0.022
192,0.0014201,0.374,0.006115,0.01701919,0.018000000000000002
193,0.00681268,1.05,0.012154,0.143929926,0.10400000000000001
194,0.0150329,0.372,0.019902,0.131337526,0.113
195,0.0102241,0.84,0.017083,0.105220468,0.983
196,0.000610326,0.291,0.005342,0.014578199,0.042
197,0.00862407,1.634,0.016697,0.086769867,0.067
198,0.00113395,0.562,0.006592,0.016591118,0.037
199,0.00333945,0.441,0.007228,0.093529646,0.085
200,0.012484,1.222,0.018516,0.108509889,0.05
201,0.0161807,0.925,0.023532,0.123303132,1.063
202,0.00438058,0.382,0.007705,0.094618469,0.045
203,0.0102199,2.313,0.014915,0.127894096,0.559
204,0.0141314,0.076,0.019577,0.118991427,0.069
205,0.0201201,0.343,0.027215,0.120881627,0.091
206,0.000598554,0.343,0.006131,0.009358028,0.006
207,0.0123016,0.307,0.017152,0.143273249,3.88
208,0.00891141,0.596,0.013216,0.103463083,0.077
209,0.000458506,0.109,0.005893,0.011396392,0.021
210,0.00860531,0.691,0.014057,0.102542124,0.094
