problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00326025,1.761,0.023616,0.041801895,0.15,0.678815
12,0.00302672,1.357,0.017723,0.029097374,0.117,0.137812
13,0.0025122,1.759,0.015888,0.027462922,0.122,0.121454
14,0.00280155,1.745,0.024459,0.035058159,0.165,1.358471
15,0.00324212,2.277,0.024302,0.03394217,0.168,0.227362
16,0.00293221,1.737,0.025677,0.038058753,0.146,0.585802
17,0.00273891,1.328,0.018021,0.022293973,0.115,0.107686
18,0.00290021,1.671,0.017024,0.020158562,0.128,0.767219
19,0.004214,3.057,0.024097,0.028573778,0.14,0.126346
20,0.00317038,1.396,0.018182,0.021478449,0.126,0.120163
21,0.00344396,2.662,0.021761,0.026387657,0.155,0.118071
22,0.00361144,2.749,0.019497,0.027178832,0.134,0.298417
23,0.00321814,1.784,0.016759,0.019223125,0.114,0.253293
24,0.0033692,1.851,0.01924,0.024077315,0.126,0.158721
25,0.00453203,1.064,0.017886,0.020460964,0.111,0.15495
26,0.00130192,1.966,0.01895,0.029446158,0.14300000000000002,0.261772
27,0.00281859,1.119,0.021003,0.027049967,0.138,0.17111
28,0.00297057,1.454,0.023268,0.02914281,0.116,0.201596
29,0.00271017,2.414,0.023632,0.028143186,0.152,0.136743
30,0.00304758,1.924,0.016849,0.021542156,0.11,0.6133
31,0.00278232,2.508,0.023027,0.027307408,0.158,0.13338
32,0.00316453,1.558,0.020309,0.021463625,0.133,0.093841
33,0.0031435,4.067,0.024022,0.028371601,0.155,0.448352
34,0.00302345,2.133,0.027964,0.031145218,0.165,0.724105
35,0.00284176,2.033,0.021504,0.029123782,0.164,0.37866
36,0.00264326,2.558,0.019205,0.022386511,0.131,0.219358
37,0.00310745,1.61,0.017571,0.018591626,0.11800000000000001,0.293687
38,0.00313484,2.081,0.017794,0.020407477,0.116,0.240255
39,0.00276666,2.011,0.019745,0.023109853,0.123,0.253031
40,0.00285738,2.235,0.022237,0.03199194,0.145,0.167568
41,0.00317748,1.035,0.02671,0.037064625,0.152,0.226647
42,0.00236666,2.046,0.015861,0.017944235,0.10400000000000001,0.261527
43,0.00318231,2.607,0.021704,0.02538486,0.134,0.38544
44,0.00299351,2.425,0.024859,0.029949281,0.178,0.700248
45,0.00331394,1.591,0.026211,0.027780944,0.14300000000000002,0.258762
46,0.00295535,1.843,0.022219,0.024552159,0.155,0.225954
47,0.00323444,2.87,0.023055,0.031623082,0.151,0.104573
48,0.00354797,1.818,0.016914,0.019507807,0.11,0.18044
49,0.00191566,2.01,0.017275,0.026027663,0.117,0.140938
50,0.00298412,1.498,0.017695,0.023323082,0.114,0.364703
51,0.00283519,0.796,0.018609,0.022451905,0.133,0.100741
52,0.0035959,1.41,0.018706,0.022163094,0.128,0.207107
53,0.00264307,2.005,0.018235,0.023688294,0.129,0.323549
54,0.00287593,2.13,0.019733,0.027613029,0.138,0.193521
55,0.00338007,1.781,0.019097,0.02895445,0.125,0.382591
56,0.00301862,1.666,0.019921,0.022355368,0.127,0.125727
57,0.00325785,0.651,0.01864,0.025037104,0.147,0.27913
58,0.00357331,2.163,0.022771,0.024953172,0.131,0.440946
59,0.0019732,2.823,0.017732,0.022792141,0.13,0.172781
60,0.00315248,2.07,0.021309,0.021461682,0.135,0.540507
61,0.00286691,1.776,0.024234,0.028601422,0.165,0.29625
62,0.00281122,1.728,0.020392,0.024231016,0.127,0.14192
63,0.00343176,1.466,0.026422,0.028088091,0.161,0.290643
64,0.00333505,1.284,0.021693,0.032315461,0.153,0.133545
65,0.00302292,1.963,0.020701,0.026135528,0.128,0.210802
66,0.00310788,3.076,0.023615,0.026737021,0.145,0.144506
67,0.00318741,0.929,0.016385,0.01882151,0.111,0.170367
68,0.0033698,1.549,0.022483,0.029842098,0.152,0.447656
69,0.00292661,3.33,0.020208,0.025526044,0.131,0.258154
70,0.00315145,1.828,0.022037,0.026849888,0.158,0.335303
71,0.00293501,0.729,0.017322,0.021224646,0.129,0.239342
72,0.00331996,1.91,0.03048,0.024573699,0.138,0.185862
73,0.00429571,0.73,0.022359,0.024052701,0.112,0.13203
74,0.0028453,1.591,0.021163,0.022051721,0.113,0.797879
75,0.00263546,1.134,0.025887,0.024403946,0.148,0.190909
76,0.00291451,2.013,0.017895,0.02244261,0.124,0.495839
