problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.000540694,0.001,0.008261,0.03238551,0.036000000000000004,0.008422
12,0.00151235,0.002,0.012296,0.049810924,0.501,0.008769
13,0.000893385,0.001,0.008099,0.033242797,0.116,0.008314
14,0.00258365,0.003,0.010939,0.226028242,0.164,0.139714
15,0.0155588,0.016,0.029204,0.230798682,0.147,0.08553
16,0.00200362,0.002,0.010495,0.104561807,0.095,0.053049
17,0.000677308,0.001,0.006807,0.016942827,0.044,0.00688
18,0.000475866,0.001,0.008397,0.019923906,0.07100000000000001,0.008161
19,0.00455934,0.006,0.010842,0.136232732,0.216,0.103588
20,0.00137649,0.002,0.007993,0.026548563,0.164,0.0066
21,0.000908858,0.002,0.007691,0.029242576,0.062,0.005566
22,0.000513294,0.001,0.006375,0.02568176,0.046,0.006411
23,0.000718801,0.002,0.010876,0.038754791,0.033,0.012352
24,0.000662196,0.001,0.009056,0.032096502,0.057,0.009342
25,0.000653133,0.001,0.00827,0.01812321,0.15,0.007949
26,0.000630842,0.001,0.008912,0.021514032,0.10200000000000001,0.008183
27,0.0346507,0.033,0.065605,0.137779748,0.17200000000000001,0.051917
28,0.0151015,0.016,0.026719,3.319521131,0.176,0.052126
29,0.00238429,0.003,0.009822,0.126378726,0.133,0.073205
30,0.00069854,0.002,0.008658,0.033862887,0.162,0.007319
31,0.000530532,0.001,0.007666,0.009724685,0.083,0.008124
32,0.000723978,0.002,0.009567,0.022952944,0.03,0.009925
33,0.000478629,0.001,0.00611,0.010338394,0.074,0.00546
34,0.000532763,0.001,0.0073,0.015241562,0.046,0.007622
35,0.000672368,0.001,0.010889,0.01698993,0.053,0.006903
36,0.000538254,0.002,0.007594,0.033874876,0.061,0.007864
37,0.00529757,0.006,0.015873,0.865846465,0.191,0.125749
38,0.000607656,0.001,0.009667,0.037676788,0.042,0.011474
39,0.00488988,0.005,0.012529,0.162134589,4.851,0.147122
40,0.0114217,0.011,0.021819,0.191481498,0.185,0.121259
41,0.00896607,0.01,0.021755,0.127587747,0.14400000000000002,0.02929
