problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Symbolica
11,0.00458727,0.006,0.039841,0.163978,0.101641191,0.031857
12,0.0035001,0.005,0.0284,0.07304,0.068191008,0.021257
13,0.00395996,0.006,0.034059,0.098137,0.080693826,0.010631
14,0.00420862,0.007,0.03628,0.116081,0.087885902,0.025027
15,0.00447407,0.006,0.036302,0.097098,0.09490251,0.018049
16,0.0037222,0.005,0.030683,0.096857,0.09706008,0.016693
17,0.00348107,0.005,0.02851,0.109843,0.068255802,0.015245
18,0.00363726,0.005,0.03201,0.139952,0.090752074,0.011324
19,0.00482074,0.007,0.03486,0.117945,0.070630022,0.016963
20,0.0035029,0.004,0.029922,0.12462,0.095195866,0.017518
21,0.004483,0.007,0.040164,0.188101,0.095587638,0.018894
22,0.00298156,0.005,0.028295,0.113221,0.054302891,0.012651
23,0.00385415,0.005,0.030526,0.108571,0.079755608,0.022113
24,0.00465879,0.006,0.036471,0.098013,0.094350953,0.016455
25,0.00420278,0.006,0.031294,0.11809,0.060356576,0.020256
26,0.00401253,0.006,0.035887,0.145399,0.088614037,0.011239
27,0.00477296,0.007,0.040494,0.097656,0.101843027,0.016908
28,0.00400385,0.005,0.03452,0.128016,0.085553427,0.021291
29,0.00386568,0.006,0.032898,0.132047,0.077594618,0.046619
30,0.00298623,0.004,0.025173,0.071568,0.058203703,0.014295
31,0.00389593,0.006,0.034759,0.074359,0.073601843,0.014916
32,0.00324878,0.004,0.028533,0.11919,0.063696436,0.014225
33,0.0042286,0.006,0.03865,0.129964,0.100947011,0.018565
34,0.00387222,0.006,0.03607,0.111864,0.07992102,0.018443
35,0.0042938,0.006,0.040335,0.145873,0.106900192,0.035556
36,0.00396569,0.005,0.032708,0.132106,0.086114528,0.012668
37,0.00306007,0.005,0.026385,0.129044,0.052631727,0.00917
38,0.00396406,0.005,0.032856,0.1568,0.07959536,0.013174
39,0.00499569,0.007,0.036546,0.143432,0.097486613,0.017042
40,0.00392688,0.005,0.03388,0.116694,0.078567989,0.012628
41,0.00466706,0.006,0.041975,0.149548,0.087488957,0.040578
42,0.00416605,0.006,0.030897,0.091607,0.07331382,0.014695
43,0.00441179,0.006,0.037017,0.130363,0.102032247,0.017411
44,0.0043947,0.006,0.035505,0.159515,0.093390611,0.020847
45,0.00453004,0.007,0.039641,0.14943,0.095880406,0.026026
46,0.00335639,0.005,0.028854,0.119284,0.064168102,0.019973
47,0.00431228,0.005,0.032466,0.101277,0.063853082,0.022135
48,0.0034571,0.005,0.026469,0.089126,0.054940075,0.014649
49,0.00459319,0.007,0.036526,0.095313,0.097539708,0.02989
50,0.00411045,0.006,0.032952,0.12821,0.080648507,0.016301
51,0.00321721,0.004,0.029429,0.113379,0.057426289,0.019823
52,0.0037629,0.005,0.029261,0.051762,0.058851012,0.018978
53,0.00370533,0.005,0.033059,0.166497,0.07573014,0.019076
54,0.00354812,0.005,0.029795,0.076595,0.069750431,0.014691
55,0.00439858,0.006,0.035053,0.142445,0.080195412,0.04409
56,0.00401207,0.005,0.031255,0.121638,0.077297806,0.012604
57,0.003131,0.004,0.027827,0.097245,0.093938357,0.021679
58,0.00327207,0.004,0.02947,0.117724,0.068669232,0.020853
59,0.00397055,0.006,0.033611,0.123954,0.07265442,0.018341
60,0.00389861,0.006,0.035244,0.087247,0.079914913,0.019032
61,0.00386286,0.005,0.032837,0.124389,0.075912419,0.019661
62,0.00426284,0.006,0.036451,0.117973,0.081582291,0.017796
63,0.00490889,0.007,0.041435,0.122102,0.092066103,0.02061
64,0.00388116,0.005,0.033838,0.131736,0.075700928,0.021295
65,0.00338972,0.005,0.028828,0.095446,0.063982071,0.015372
66,0.00436441,0.007,0.040264,0.137034,0.113290037,0.016132
67,0.00406771,0.005,0.030763,0.137067,0.067167834,0.019946
68,0.00448373,0.006,0.038404,0.125342,0.096083319,0.017661
69,0.00382378,0.005,0.029028,0.125995,0.058106017,0.014718
70,0.00461058,0.007,0.036483,0.148174,0.081024042,0.016137
71,0.00333907,0.005,0.027996,0.092508,0.060013041,0.024933
72,0.00316728,0.006,0.029277,0.112589,0.060957239,0.016801
73,0.00407981,0.006,0.034419,0.149909,0.083677963,0.016726
74,0.00460125,0.006,0.036483,0.137084,0.088721844,0.018526
75,0.00436459,0.006,0.032348,0.058682,0.073148418,0.019692
76,0.00432897,0.006,0.035365,0.13205,0.089242833,0.021623
77,0.0046193,0.006,0.03749,0.139891,0.088049727,0.014204
78,0.00325458,0.004,0.028698,0.119025,0.069562457,0.018034
79,0.00390926,0.005,0.031372,0.119597,0.070451627,0.015955
80,0.00378366,0.005,0.03074,0.119366,0.070611025,0.013874
81,0.00415106,0.006,0.034818,0.126993,0.079180191,0.015787
82,0.00367897,0.006,0.028996,0.052886,0.076017606,0.017775
83,0.00450472,0.006,0.033748,0.11694,0.072005195,0.018574
84,0.00418219,0.005,0.032558,0.097645,0.060428176,0.016594
85,0.00409854,0.006,0.034284,0.120572,0.093907195,0.016219
86,0.00392799,0.006,0.032982,0.141596,0.073236862,0.013127
87,0.00440411,0.006,0.030737,0.094346,0.068376801,0.013441
88,0.00446997,0.005,0.033094,0.110389,0.081667395,0.010327
89,0.00470941,0.006,0.040101,0.179152,0.115457384,0.024091
90,0.00416062,0.006,0.035822,0.129392,0.08011293,0.020045
91,0.00399253,0.005,0.034921,0.157858,0.074665529,0.014608
92,0.00400031,0.006,0.031486,0.108559,0.065520008,0.018172
93,0.00371715,0.006,0.03356,0.103579,0.083404689,0.0169
94,0.0041949,0.006,0.04054,0.122518,0.113721676,0.022698
95,0.00364332,0.006,0.030588,0.088733,0.06789174,0.013785
96,0.00445358,0.006,0.037684,0.153089,0.104986533,0.024065
97,0.00416831,0.006,0.034888,0.148958,0.07398524,0.016638
98,0.00389986,0.005,0.035834,0.142347,0.080017354,0.021486
99,0.00484952,0.007,0.034544,0.141645,0.085222157,0.015331
100,0.0033707,0.004,0.025294,0.084047,0.055929355,0.032859
101,0.0042001,0.006,0.035294,0.148846,0.07642342,0.013408
102,0.00297594,0.004,0.02431,0.102066,0.050788537,0.01202
103,0.00334243,0.005,0.027012,0.08595,0.067358513,0.01495
104,0.004389,0.007,0.0341,0.107673,0.082862824,0.017222
105,0.00326691,0.004,0.026878,0.100248,0.062900885,0.016481
106,0.00401342,0.005,0.028569,0.140259,0.062277122,0.012894
107,0.00430078,0.006,0.035048,0.104236,0.072324335,0.017033
108,0.00370558,0.005,0.03388,0.128818,0.078410311,0.022038
109,0.00417089,0.006,0.032236,0.136682,0.082560199,0.019904
110,0.00438235,0.006,0.034863,0.117351,0.077293716,0.015163
111,0.00339147,0.005,0.031158,0.128626,0.079474619,0.020174
112,0.00361259,0.005,0.030314,0.097899,0.070145662,0.015265
113,0.00323492,0.005,0.028252,0.104311,0.056122552,0.01358
114,0.00367573,0.005,0.033525,0.109177,0.075543974,0.016213
115,0.0044367,0.006,0.034881,0.142254,0.091846544,0.022769
116,0.00360038,0.005,0.030272,0.127802,0.063970376,0.014725
117,0.00397807,0.006,0.037236,0.150901,0.087504028,0.016014
118,0.00388412,0.006,0.031435,0.115711,0.068563799,0.019351
119,0.00324572,0.005,0.029221,0.107769,0.061059445,0.015207
120,0.00433514,0.006,0.03583,0.131896,0.073394145,0.023198
121,0.00380048,0.005,0.029967,0.117124,0.067098127,0.017849
122,0.00382146,0.005,0.032646,0.146789,0.067721224,0.018565
123,0.00441888,0.006,0.03688,0.151263,0.088288806,0.017274
124,0.00418564,0.006,0.031561,0.054892,0.069604552,0.012421
125,0.00417839,0.006,0.036336,0.143188,0.084214522,0.020612
126,0.0043146,0.005,0.035476,0.126355,0.099746191,0.009948
127,0.00390704,0.005,0.033383,0.140353,0.083228667,0.020089
128,0.00359768,0.005,0.034408,0.101757,0.07579098,0.016439
129,0.00362875,0.005,0.031298,0.094911,0.070557229,0.033563
130,0.00440769,0.006,0.032797,0.110815,0.083804238,0.014299
131,0.00421333,0.006,0.030284,0.11463,0.060472922,0.012084
132,0.00321785,0.004,0.030585,0.117173,0.063902788,0.012061
133,0.00427157,0.006,0.036029,0.136715,0.087513426,0.014339
134,0.00402651,0.006,0.03419,0.140014,0.08039422,0.016384
135,0.0040666,0.005,0.0309,0.126804,0.08272118,0.018744
136,0.0044905,0.007,0.038767,0.155482,0.09225996,0.021438
137,0.00325759,0.005,0.027949,0.062106,0.057989857,0.013671
138,0.00403098,0.005,0.031245,0.128536,0.077840953,0.019026
139,0.0035271,0.004,0.030939,0.122174,0.062574294,0.012377
140,0.00370788,0.005,0.031772,0.112518,0.066094885,0.016488
141,0.00343583,0.004,0.029007,0.1079,0.058928328,0.019004
142,0.00385207,0.005,0.029304,0.121734,0.059051177,0.017755
143,0.00332528,0.005,0.030187,0.110821,0.119983444,0.014311
144,0.00468949,0.007,0.036558,0.092911,0.092526252,0.041545
145,0.00351452,0.005,0.030954,0.11704,0.071350901,0.011928
146,0.0037438,0.005,0.029776,0.124465,0.079612631,0.014115
147,0.00408623,0.006,0.034894,0.114767,0.077870182,0.011868
148,0.00450573,0.006,0.040225,0.167873,0.103697219,0.012455
149,0.00419924,0.006,0.034659,0.114063,0.093612875,0.013531
150,0.00394209,0.006,0.034297,0.135358,0.080736859,0.024304
151,0.00354908,0.005,0.030147,0.108526,0.069911796,0.016598
152,0.00356069,0.005,0.027274,0.11754,0.06310717,0.021182
153,0.00447595,0.006,0.037095,0.142358,0.081213302,0.023886
154,0.00387937,0.005,0.031059,0.129815,0.074244204,0.021101
155,0.00373143,0.005,0.031123,0.073388,0.062583119,0.018136
156,0.00360994,0.005,0.031228,0.107273,0.065809336,0.015227
157,0.00379814,0.005,0.030712,0.116434,0.062678694,0.017567
158,0.00423442,0.006,0.03468,0.140209,0.102080185,0.014141
159,0.00379179,0.005,0.030379,0.107526,0.061801209,0.016447
160,0.0035969,0.004,0.028358,0.071393,0.059622601,0.016517
161,0.00406763,0.006,0.031576,0.12082,0.06664886,0.017194
162,0.00500784,0.006,0.038565,0.154005,0.100721699,0.021641
163,0.00346241,0.005,0.03118,0.108951,0.069803124,0.014742
164,0.00405534,0.006,0.031887,0.148638,0.063775062,0.023712
165,0.00464039,0.007,0.038222,0.153932,0.087295244,0.015367
166,0.00383023,0.006,0.030975,0.115528,0.059510429,0.024059
167,0.00338529,0.005,0.030723,0.118858,0.074101148,0.018901
168,0.00380947,0.005,0.034453,0.151098,0.09440286,0.016061
169,0.00359074,0.005,0.031767,0.127612,0.061717558,0.016064
170,0.00406651,0.006,0.032482,0.121142,0.082700609,0.01994
171,0.00379567,0.006,0.035591,0.121525,0.078962401,0.021893
172,0.00455663,0.006,0.031917,0.111146,0.067478767,0.014696
173,0.00359588,0.005,0.032284,0.123533,0.059359103,0.015775
174,0.00379023,0.005,0.029669,0.099232,0.051943586,0.017928
175,0.00394737,0.005,0.031673,0.121065,0.077336081,0.017442
176,0.0043895,0.007,0.038033,0.156993,0.09937569,0.034581
177,0.00398973,0.005,0.03326,0.125157,0.065515057,0.016187
178,0.00525205,0.008,0.041093,0.091326,0.090498353,0.020352
179,0.00425229,0.007,0.039739,0.095307,0.123969334,0.015469
180,0.00426247,0.006,0.034321,0.125802,0.067881476,0.014054
181,0.00371758,0.006,0.034977,0.157175,0.089576448,0.020325
182,0.00482964,0.006,0.039416,0.14633,0.088770847,0.018033
183,0.00372524,0.005,0.030087,0.09924,0.058914302,0.01423
184,0.00324503,0.005,0.025915,0.088696,0.064317553,0.029207
185,0.00435369,0.006,0.037212,0.134387,0.075943921,0.016708
186,0.00355378,0.005,0.026691,0.119471,0.077956208,0.02116
187,0.00436952,0.006,0.037208,0.095628,0.096899615,0.018167
188,0.00321863,0.005,0.028306,0.112675,0.063577586,0.019806
189,0.0040269,0.006,0.03618,0.153014,0.119459129,0.02757
190,0.00308655,0.004,0.025209,0.087744,0.050507779,0.015303
191,0.00443032,0.006,0.038412,0.162781,0.101373848,0.024281
192,0.00366957,0.005,0.02873,0.100593,0.069245191,0.018641
193,0.0041776,0.005,0.033615,0.108907,0.071001117,0.012642
194,0.00438615,0.006,0.035033,0.146082,0.111921631,0.017829
195,0.00425038,0.006,0.03858,0.157149,0.083017106,0.009957
196,0.00378178,0.005,0.030093,0.120838,0.058113094,0.01535
197,0.00332386,0.005,0.030905,0.099625,0.068374328,0.018871
198,0.00466786,0.007,0.036763,0.117198,0.10192478,0.013185
199,0.00368067,0.005,0.03095,0.150126,0.082143544,0.016174
200,0.00389295,0.005,0.029193,0.103317,0.067760973,0.0194
201,0.0033557,0.004,0.028146,0.055898,0.061309442,0.019017
202,0.00341691,0.005,0.031326,0.119708,0.068561718,0.014748
203,0.00311112,0.004,0.027172,0.112975,0.06338011,0.024222
204,0.00318118,0.004,0.028637,0.11199,0.052677848,0.011361
205,0.00377532,0.005,0.031348,0.141544,0.064091859,0.015884
206,0.00519032,0.007,0.039022,0.121427,0.10459824,0.018977
207,0.00358911,0.006,0.035337,0.117881,0.077569233,0.017982
208,0.00395947,0.006,0.032917,0.122038,0.061363987,0.014318
209,0.00354658,0.005,0.031066,0.096915,0.062225062,0.021098
210,0.00333732,0.005,0.02948,0.120439,0.061354266,0.014025
