problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular,Symbolica
11,0.000373063,0.003,0.034864,0.038714,0.004193974,0.049,0.001037
12,0.000311401,0.001,0.028209,0.031528,0.003031502,0.029,0.000857
13,0.000272648,0.002,0.025706,0.070217,0.003355267,0.31,0.000755
14,0.000316967,0.002,0.02817,0.082904,0.004028341,0.314,0.000888
15,0.000300345,0.002,0.026572,0.053686,0.00372397,0.317,0.000812
16,0.000359557,0.002,0.03286,0.06431,0.004518902,0.037,0.001011
17,0.000254097,0.002,0.022277,0.070285,0.003071292,0.025,0.000713
18,0.000340994,0.002,0.032008,0.033492,0.003488193,0.035,0.000938
19,0.000264098,0.001,0.025365,0.069093,0.003017778,0.027,0.000759
20,0.000359202,0.003,0.035232,0.061364,0.004017862,0.039,0.001039
21,0.000351502,0.002,0.030537,0.08243,0.003551876,0.036000000000000004,0.000986
22,0.000316616,0.002,0.029217,0.084553,0.003349853,0.032,0.000875
23,0.000284972,0.002,0.026419,0.061365,0.003151887,0.035,0.000821
24,0.000288356,0.001,0.02557,0.074527,0.00286054,0.03,0.000793
25,0.000373905,0.003,0.035189,0.085255,0.004097522,0.20800000000000002,0.00105
26,0.00036387,0.003,0.032867,0.085029,0.003955735,0.038,0.001006
27,0.000323506,0.002,0.029324,0.030517,0.003283623,0.034,0.000896
28,0.000247472,0.001,0.023109,0.075628,0.00257748,0.028,0.000696
29,0.000321277,0.002,0.031337,0.089507,0.003750426,0.033,0.000914
30,0.000354248,0.002,0.030901,0.082031,0.002791819,0.034,0.000982
31,0.000338531,0.002,0.032727,0.082232,0.003097811,0.035,0.000971
32,0.000296936,0.002,0.026873,0.063268,0.00332988,0.033,0.000852
33,0.000350463,0.003,0.031092,0.095824,0.003049296,0.035,0.001003
34,0.000350405,0.002,0.032214,0.033443,0.002648726,0.034,0.000968
35,0.000321212,0.002,0.030715,0.090313,0.002825024,0.034,0.000921
36,0.00024731,0.001,0.022505,0.026113,0.001813153,0.027,0.000687
37,0.000299797,0.002,0.02803,0.033526,0.002041945,0.029,0.000834
38,0.000315026,0.002,0.02982,0.083919,0.002629227,0.313,0.000872
39,0.000281184,0.002,0.024893,0.027503,0.00199229,0.028,0.000766
40,0.00030846,0.002,0.026985,0.085734,0.002597218,0.029,0.000836
41,0.000293304,0.002,0.027653,0.031313,0.001888639,0.028,0.000818
42,0.000299738,0.002,0.029373,0.085207,0.002567843,0.032,0.000855
43,0.000293148,0.001,0.027341,0.079728,0.002480607,0.029,0.000815
44,0.000288106,0.002,0.026227,0.074013,0.002467696,0.03,0.000805
45,0.000332878,0.002,0.030773,0.028342,0.0024301,0.032,0.000912
46,0.000329257,0.002,0.029937,0.083125,0.002945002,0.211,0.000929
47,0.000362193,0.002,0.033514,0.094057,0.002782026,0.353,0.00099
48,0.000343447,0.002,0.031659,0.0614,0.002902894,0.036000000000000004,0.000967
49,0.000284758,0.002,0.025314,0.054028,0.002370027,0.304,0.000797
50,0.000332515,0.002,0.030244,0.034558,0.002435321,0.035,0.000918
51,0.000335738,0.002,0.032934,0.09028,0.002929324,0.036000000000000004,0.000962
52,0.000295485,0.002,0.026893,0.067966,0.002566074,0.28800000000000003,0.000813
53,0.000315719,0.001,0.030212,0.033371,0.00226606,0.032,0.000878
54,0.000286466,0.002,0.023656,0.077983,0.002293327,0.028,0.000789
55,0.00030977,0.002,0.029261,0.031671,0.002441651,0.031,0.000881
56,0.000318443,0.002,0.030546,0.075955,0.002486724,0.034,0.000893
57,0.000309819,0.002,0.028246,0.090096,0.002395783,0.328,0.000857
58,0.000338208,0.002,0.032842,0.082961,0.002904102,0.035,0.000976
59,0.0002736,0.002,0.025473,0.071039,0.004153047,0.028,0.000773
60,0.000299163,0.002,0.027841,0.070281,0.002498005,0.031,0.000825
61,0.000321285,0.002,0.028178,0.074771,0.0026241,0.031,0.000885
62,0.000297863,0.002,0.0283,0.080778,0.002407665,0.178,0.000848
63,0.000315993,0.002,0.029742,0.08088,0.002546194,0.339,0.000882
64,0.000342737,0.002,0.03144,0.084589,0.003025428,0.318,0.00098
65,0.00027808,0.002,0.026113,0.073701,0.002453975,0.156,0.000796
66,0.000298677,0.002,0.028277,0.032264,0.002367709,0.031,0.000853
67,0.00038888,0.002,0.034847,0.09464,0.003196648,0.038,0.00109
68,0.000330731,0.002,0.031788,0.091344,0.002739912,0.033,0.000923
69,0.000293867,0.002,0.028329,0.080982,0.00249976,0.315,0.000835
70,0.000350275,0.002,0.033401,0.034757,0.002558939,0.036000000000000004,0.000982
71,0.00033478,0.002,0.031761,0.030686,0.002346091,0.034,0.000934
72,0.000331213,0.002,0.031576,0.055267,0.002686236,0.034,0.000924
73,0.000344169,0.002,0.032603,0.095584,0.002916306,0.035,0.000958
74,0.000334812,0.002,0.030791,0.03323,0.002779332,0.035,0.000944
75,0.000257782,0.001,0.023285,0.068111,0.002161503,0.273,0.000745
76,0.000292648,0.002,0.027089,0.081508,0.00222441,0.031,0.00081
77,0.000280075,0.001,0.025961,0.054353,0.002370009,0.033,0.000798
78,0.000300473,0.002,0.026713,0.073356,0.002490875,0.03,0.000844
79,0.000277185,0.001,0.023326,0.079554,0.002215665,0.309,0.000753
