problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00308587,0.005,0.024123,0.039281974,0.152,0.016821
12,0.00291962,0.004,0.018033,0.028990703,0.116,0.013409
13,0.00241187,0.004,0.016104,0.028015511,0.11800000000000001,0.013397
14,0.00267963,0.004,0.024641,0.035221098,0.159,0.012921
15,0.00304349,0.005,0.024503,0.034471153,0.155,0.01422
16,0.00278097,0.004,0.025897,0.038388761,0.14200000000000002,0.016022
17,0.00261159,0.004,0.017814,0.022436925,0.112,0.014325
18,0.00277555,0.003,0.017217,0.020234652,0.126,0.011714
19,0.00394245,0.005,0.023992,0.028047643,0.136,0.012094
20,0.00301386,0.004,0.018323,0.021582209,0.1,0.01532
21,0.00330261,0.005,0.022031,0.026223814,0.139,0.019171
22,0.00346038,0.004,0.019251,0.02768366,0.13,0.014429
23,0.00309767,0.005,0.01706,0.019565364,0.111,0.013949
24,0.00325083,0.004,0.019474,0.024334863,0.125,0.012753
25,0.00432571,0.006,0.018246,0.020243207,0.108,0.012292
26,0.0012468,0.001,0.018962,0.02973604,0.139,0.012228
27,0.00263733,0.003,0.021098,0.028282506,0.137,0.011907
28,0.00286605,0.004,0.023542,0.029185578,0.115,0.015277
29,0.00258343,0.003,0.023406,0.028598518,0.151,0.0124
30,0.00294666,0.005,0.016986,0.021702029,0.114,0.012511
31,0.00264892,0.004,0.023296,0.027646396,0.153,0.013563
32,0.00317366,0.004,0.020768,0.021543736,0.11800000000000001,0.013076
33,0.00306997,0.005,0.024105,0.02907928,0.152,0.014051
34,0.00287327,0.004,0.028356,0.031198767,0.15,0.014902
35,0.00273409,0.003,0.021516,0.029887682,0.156,0.016852
36,0.00255144,0.004,0.019293,0.022302006,0.122,0.018986
37,0.00310429,0.004,0.017464,0.01887709,0.136,0.015456
38,0.00303116,0.004,0.017855,0.020657422,0.11,0.014671
39,0.00259753,0.004,0.019916,0.023364359,0.123,0.01333
40,0.0027899,0.004,0.022315,0.031241304,0.14100000000000001,0.014822
41,0.0030315,0.005,0.027156,0.037321822,0.148,0.027447
