problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Symbolica
11,0.00277576,0.004,0.017585,0.020453,0.036612266,0.010105
12,0.00329809,0.005,0.026201,0.039264,0.043561793,0.035877
13,0.0025013,0.003,0.019132,0.024576,0.009682085,0.002046
14,0.00312816,0.005,0.024236,0.030983,0.052439769,0.008732
15,0.00301768,0.005,0.023941,0.014657,0.043426832,0.002121
16,0.00306336,0.004,0.021739,0.012976,0.036833883,0.002518
17,0.0037584,0.005,0.02522,0.020371,0.039240848,0.003446
18,0.00298914,0.005,0.02481,0.042232,0.04198429,0.015177
19,0.00292366,0.004,0.024991,0.021958,0.033761908,0.009844
20,0.00296127,0.004,0.025951,0.073079,0.037074819,0.002405
21,0.00317471,0.004,0.026179,0.028432,0.034867219,0.001844
22,0.0023432,0.003,0.015612,0.011336,0.01125842,0.001452
23,0.00409806,0.005,0.028739,0.024006,0.036528161,0.012497
24,0.00268936,0.004,0.018798,0.023047,0.007390425,0.002609
25,0.00338844,0.005,0.021945,0.016877,0.036437705,0.009379
26,0.00352079,0.005,0.020809,0.026145,0.037602825,0.005193
27,0.00465179,0.006,0.02998,0.036172,0.040799861,0.010661
28,0.00248443,0.004,0.021061,0.024575,0.008781499,0.003577
29,0.00275705,0.004,0.020928,0.024173,0.035287837,0.009815
30,0.00413917,0.005,0.025748,0.022931,0.039449465,0.00297
31,0.00314855,0.004,0.020653,0.026335,0.032905308,0.01059
32,0.00361834,0.005,0.024714,0.030116,0.041293135,0.019739
33,0.00353853,0.005,0.024341,0.02475,0.022581871,0.002023
34,0.00307422,0.004,0.023145,0.030512,0.035600602,0.013677
35,0.00316888,0.005,0.022621,0.019412,0.032813579,0.009319
36,0.00311036,0.004,0.019245,0.025688,0.028950778,0.002516
37,0.00295248,0.004,0.021878,0.020315,0.035896063,0.011051
38,0.00331974,0.005,0.023043,0.030401,0.033246763,0.013529
39,0.00329064,0.005,0.024006,0.018974,0.03540968,0.01081
40,0.00314104,0.004,0.022705,0.022056,0.009166755,0.003817
41,0.00377908,0.005,0.024525,0.024206,0.035739434,0.013142
42,0.00268437,0.004,0.021137,0.020367,0.036465381,0.012466
43,0.00332594,0.005,0.024918,0.019631,0.023989677,0.002284
44,0.00298371,0.005,0.022862,0.024112,0.032307196,0.010472
45,0.00354375,0.005,0.024252,0.025362,0.038783041,0.015473
46,0.00440732,0.005,0.03034,0.036575,0.04306867,0.011574
47,0.00298269,0.004,0.01968,0.025915,0.007703097,0.002031
48,0.00283871,0.004,0.020465,0.022667,0.029356262,0.009819
49,0.00308366,0.004,0.022832,0.025255,0.032623584,0.014616
50,0.00270333,0.004,0.017238,0.025084,0.03408035,0.002039
51,0.0031844,0.005,0.019673,0.026138,0.033769852,0.010932
52,0.00336656,0.005,0.023441,0.010696,0.032719119,0.003021
53,0.00285463,0.004,0.024119,0.027132,0.007944018,0.001908
54,0.00272039,0.003,0.019892,0.017379,0.017592739,0.001853
55,0.00259539,0.004,0.023296,0.033628,0.009272991,0.003013
56,0.00305957,0.005,0.023284,0.031466,0.036249939,0.020993
57,0.00271866,0.004,0.018169,0.022394,0.00730958,0.001969
58,0.00359457,0.005,0.024462,0.026131,0.03607995,0.013069
59,0.00331971,0.004,0.022021,0.018098,0.023250096,0.00389
60,0.00408539,0.005,0.023591,0.026731,0.039728004,0.017866
61,0.00225777,0.003,0.020266,0.01418,0.026661562,0.007999
62,0.00393481,0.006,0.027591,0.020772,0.037506489,0.020483
63,0.00347457,0.005,0.022447,0.032572,0.038192191,0.013257
64,0.00258894,0.004,0.018926,0.026451,0.0289569,0.009762
65,0.00289634,0.004,0.020421,0.011034,0.033341783,0.008821
66,0.00332703,0.005,0.027803,0.015126,0.033692834,0.027111
67,0.00293408,0.004,0.022747,0.02463,0.030568074,0.002845
68,0.00234483,0.004,0.018044,0.021061,0.028129439,0.03784
69,0.00332518,0.005,0.025117,0.02095,0.037013182,0.012985
70,0.00277984,0.004,0.017538,0.018839,0.028966942,0.011276
71,0.00231034,0.003,0.015696,0.009084,0.026979026,0.009937
72,0.00364466,0.005,0.02542,0.023122,0.018393325,0.005672
73,0.00301574,0.005,0.022069,0.025412,0.037803331,0.01135
74,0.00310845,0.005,0.025071,0.017633,0.009144809,0.002572
