problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00179901,0.003,0.014895,0.025156053,0.057,0.010221
12,0.00215562,0.004,0.012907,0.019905563,0.045,0.004089
13,0.00179329,0.003,0.011647,0.016135508,0.057,0.005103
14,0.00171762,0.003,0.015577,0.021748999,0.139,0.007854
15,0.00160707,0.002,0.017893,0.024020028,0.07,0.006602
16,0.00163793,0.002,0.015467,0.022203054,0.054,0.009134
17,0.00204209,0.003,0.013018,0.019120288,0.051000000000000004,0.008677
18,0.00178552,0.003,0.010934,0.018349555,0.041,0.007234
19,0.00187497,0.003,0.014079,0.021787094,0.046,0.006735
20,0.00199968,0.003,0.012509,0.018889458,0.037,0.005289
21,0.00176481,0.003,0.013349,0.022431251,0.062,0.01629
22,0.00189375,0.003,0.012498,0.016634138,0.23,0.015516
23,0.00200754,0.002,0.010939,0.01701164,0.042,0.004625
24,0.00187382,0.002,0.01338,0.014188864,0.045,0.014544
25,0.000837637,0.001,0.008855,0.012934239,0.037,0.004202
26,0.00180209,0.002,0.013831,0.016476982,0.127,0.004902
27,0.00193054,0.003,0.015661,0.018454116,0.053,0.00401
28,0.00171173,0.003,0.014641,0.017116126,0.061,0.009025
29,0.00159858,0.002,0.015627,0.018002677,0.159,0.005105
30,0.00164216,0.002,0.011431,0.013486648,0.042,0.005355
31,0.00169174,0.003,0.013088,0.016636057,0.062,0.00487
32,0.00199852,0.003,0.013286,0.012869074,0.049,0.00559
33,0.00158564,0.003,0.014421,0.019290241,0.074,0.013661
34,0.0016255,0.003,0.015634,0.018106586,0.07,0.020739
35,0.00165266,0.003,0.013877,0.015618141,0.054,0.004731
36,0.00211226,0.003,0.013365,0.013112801,0.046,0.008407
37,0.00183946,0.003,0.010356,0.011994242,0.046,0.008065
38,0.0023422,0.003,0.013193,0.012635474,0.046,0.008775
39,0.00188101,0.003,0.012984,0.015606905,0.059000000000000004,0.013514
40,0.0016125,0.003,0.013417,0.018181263,0.05,0.006149
41,0.00161726,0.003,0.017525,0.017661233,0.057,0.005268
42,0.00235192,0.003,0.010248,0.012791396,0.031,0.005351
43,0.00178682,0.003,0.014232,0.013424025,0.122,0.006229
44,0.0015826,0.002,0.016984,0.016024267,0.07100000000000001,0.012922
45,0.00201005,0.004,0.017422,0.015064878,0.059000000000000004,0.013728
46,0.00192845,0.004,0.014844,0.015895869,0.061,0.009155
47,0.00152694,0.003,0.016495,0.017504163,0.125,0.006217
48,0.00211479,0.003,0.011376,0.012666309,0.039,0.006971
49,0.00179198,0.003,0.013954,0.013394852,0.063,0.005836
50,0.00187664,0.002,0.012584,0.012761305,0.06,0.008146
51,0.00183419,0.002,0.013578,0.013104931,0.045,0.008131
52,0.00190753,0.003,0.011723,0.013255119,0.056,0.006396
53,0.0017481,0.003,0.013301,0.013998301,0.045,0.009596
54,0.00209635,0.004,0.012719,0.013928137,0.064,0.015839
55,0.00199113,0.003,0.012104,0.013111724,0.05,0.006438
56,0.00168799,0.003,0.011414,0.013494806,0.055,0.006823
57,0.00176274,0.003,0.011413,0.012390814,0.192,0.008176
58,0.00191751,0.003,0.014378,0.01513519,0.047,0.010852
59,0.00173046,0.003,0.012218,0.014262317,0.05,0.005238
60,0.00204696,0.003,0.013565,0.013013837,0.044,0.015525
61,0.00189238,0.003,0.015534,0.017013694,0.066,0.007216
62,0.00178472,0.003,0.013034,0.016330744,0.054,0.005379
63,0.000737882,0.002,0.014772,0.017153137,0.052000000000000005,0.005032
64,0.000647416,0.002,0.01381,0.016539986,0.054,0.005431
