problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00644093,0.007,0.012242,0.124838363,0.049,0.020643
12,0.00466059,0.005,0.009533,0.157487056,0.092,0.080934
13,0.0041082,0.005,0.009483,0.166893948,0.444,0.062041
14,0.00782432,0.008,0.013593,0.091676848,0.07200000000000001,0.024711
15,0.005141,0.005,0.010388,0.148376857,0.074,0.055094
16,0.000511355,0.001,0.005178,0.013807878,0.023,0.003606
17,0.00036121,0.001,0.004296,0.041533902,0.008,0.003711
18,0.00820533,0.008,0.016871,0.14514596,0.058,0.04514
19,0.00502865,0.005,0.008898,0.10953474,0.107,0.040611
20,0.0117289,0.012,0.019674,0.122691715,0.11800000000000001,0.055365
21,0.00312863,0.004,0.009249,0.141966922,0.088,0.052818
22,0.000420583,0.001,0.004808,0.011002948,0.044,0.003739
23,0.0160668,0.017,0.022263,0.128800458,0.067,0.023747
24,0.00894697,0.009,0.013923,0.160990176,0.097,0.067233
25,0.0110093,0.012,0.018415,0.078384424,0.069,0.047301
26,0.00400596,0.004,0.00915,0.144957404,0.47300000000000003,0.03957
27,0.00400887,0.005,0.010056,0.174953848,0.08700000000000001,0.06517
28,0.00630522,0.007,0.01234,0.457796602,1.027,0.038931
29,0.00973145,0.01,0.019347,0.128680573,0.077,0.036406
30,0.00808092,0.009,0.015813,0.116124052,0.061,0.046713
31,0.000498276,0.001,0.005546,0.010503584,1.052,0.003086
32,0.00952188,0.01,0.016623,0.133042059,0.259,0.059384
33,0.000507434,0.001,0.00628,0.010389167,0.018000000000000002,0.00303
34,0.000393596,0.001,0.004298,0.009501509,0.031,0.003877
35,0.00548806,0.006,0.010162,0.15070714,0.368,0.050775
36,0.000355539,0.001,0.007254,0.011647638,0.018000000000000002,0.003967
37,0.000433574,0.001,0.006438,0.010952209,0.008,0.002635
38,0.00750407,0.009,0.013461,0.095955259,0.076,0.044518
39,0.000845667,0.001,0.005411,0.109275015,0.455,0.047178
40,0.0135078,0.014,0.022549,0.121088069,0.07200000000000001,0.035555
41,0.000541696,0.001,0.004361,0.009669924,0.018000000000000002,0.002019
42,0.00757753,0.008,0.016395,0.147355551,0.062,0.049306
43,0.0123917,0.012,0.024199,0.162561205,0.08700000000000001,0.056054
44,0.00853217,0.009,0.017807,0.090468605,0.048,0.026235
45,0.00043289,0.001,0.00562,0.019846083,0.021,0.003796
46,0.00993177,0.011,0.018803,0.085855454,0.057,0.018125
47,0.00490233,0.005,0.010756,0.112506218,0.053,0.015993
48,0.0105266,0.011,0.01781,0.155344027,0.08,0.053471
49,0.0133573,0.014,0.021788,0.122304917,0.11,0.059149
50,0.0024528,0.003,0.006111,0.135030894,0.084,0.057528
51,0.00429963,0.005,0.008539,0.110358103,0.075,0.034433
52,0.011122,0.012,0.018791,0.084913679,0.056,0.019069
53,0.00939864,0.01,0.017185,0.125998456,1.008,0.044083
54,0.00778994,0.008,0.014528,0.099430064,0.076,0.028622
55,0.0120573,0.012,0.021846,0.109063083,0.065,0.021294
56,0.003116,0.004,0.007654,0.100217126,0.077,0.03262
57,0.000613665,0.001,0.005864,0.013011112,0.02,0.004934
58,0.00902559,0.01,0.015742,0.090394809,0.369,0.038932
59,0.00341059,0.004,0.008161,0.115036957,0.216,0.029319
60,0.00773049,0.004,0.01541,0.079490148,0.055,0.083188
61,0.00928502,0.01,0.016541,0.110628283,0.07,0.026579
62,0.00504104,0.005,0.010349,0.125592786,0.107,0.057742
63,0.000441386,0.001,0.00476,0.009650812,0.021,0.003961
64,0.000924983,0.001,0.00504,0.008750603,0.029,0.002374
65,0.000418612,0.001,0.005672,0.020273419,0.019,0.003117
66,0.00053745,0.001,0.006306,0.024095099,0.021,0.003083
67,0.00908717,0.01,0.017119,0.112415438,0.081,0.055808
68,0.0103614,0.011,0.017463,0.125072785,0.083,0.036446
69,0.00153019,0.002,0.005397,0.017290918,0.05,0.003965
70,0.0103063,0.011,0.018361,0.140435416,0.095,0.069953
71,0.000302715,0.001,0.005287,0.017823994,0.019,0.003363
72,0.00632849,0.007,0.011902,0.135996501,0.122,0.061376
73,0.00409017,0.005,0.008416,0.138202071,0.109,0.054223
74,0.000443914,0.001,0.00534,0.019295908,0.011,0.004448
75,0.0110575,0.012,0.019238,0.095981931,0.059000000000000004,0.018077
76,0.000467316,0.001,0.005427,0.015188478,0.036000000000000004,0.003678
77,0.00172737,0.002,0.008156,0.025207409,0.063,0.005218
78,0.011761,0.012,0.021734,0.103786478,0.096,0.052801
79,0.00409911,0.009,0.009905,0.149997889,0.325,0.099929
80,0.0030991,0.003,0.0097,0.338075962,0.055,0.017807
81,0.000797782,0.001,0.005072,0.016592287,0.034,0.003159
82,0.0004876,0.001,0.005788,0.010154786,0.027,0.002896
83,0.000374191,0.001,0.004447,0.007860267,0.027,0.003489
84,0.0116366,0.012,0.019407,0.129042297,0.07100000000000001,0.056978
85,0.0117958,0.012,0.020003,0.164465305,0.11,0.08448
86,0.0093798,0.01,0.016139,0.132926418,0.067,0.083196
87,0.000409949,0.001,0.005583,0.018895254,0.01,0.003706
88,0.00253974,0.003,0.007861,0.108117946,0.051000000000000004,0.055957
89,0.000708296,0.001,0.005321,0.016980099,0.051000000000000004,0.002592
90,0.000342004,0.001,0.004939,0.008445706,0.014,0.003143
91,0.00526579,0.006,0.013221,0.102883828,0.081,0.031903
92,0.0003972,0.001,0.005087,0.01054644,0.09,0.00331
93,0.00887242,0.009,0.016136,0.105783438,0.085,0.036866
94,0.0140851,0.014,0.02103,0.127589908,0.092,0.06566
95,0.0178167,0.019,0.028638,0.097033925,0.057,0.020057
96,0.00836689,0.009,0.016675,0.101187635,0.055,0.029747
97,0.000307969,0.001,0.00475,0.008470023,0.014,0.003068
98,0.0094742,0.01,0.017457,0.145199322,0.07100000000000001,0.076882
99,0.00226613,0.002,0.006415,0.108502668,0.09,0.024489
100,0.000432493,0.001,0.006485,0.010814061,0.027,0.005061
101,0.000598707,0.001,0.005412,0.017130201,0.02,0.003255
102,0.0131541,0.013,0.017942,0.171075921,0.098,0.056718
103,0.00903462,0.01,0.015865,0.083229707,0.056,0.020584
104,0.00265471,0.003,0.007644,0.117390504,0.064,0.03522
105,0.000333805,0.001,0.004025,0.014758463,0.011,0.004023
106,0.0135158,0.014,0.019093,0.089988387,0.075,0.022845
107,0.000541195,0.001,0.004042,0.009285795,0.02,0.003366
108,0.00711485,0.006,0.01284,0.231361181,0.483,0.06221
109,0.00386114,0.005,0.010126,0.304030499,0.106,0.053714
110,0.0137535,0.014,0.021802,0.112067133,1.439,0.032271
111,0.00186137,0.002,0.006149,0.017638283,0.065,0.00262
112,0.0027941,0.004,0.006357,0.135711965,0.092,0.293119
113,0.00496512,0.006,0.011818,0.108052725,0.193,0.06348
114,0.000403509,0.001,0.00378,0.007285698,0.01,0.003827
115,0.00785451,0.009,0.016373,0.090584994,0.055,0.018654
116,0.00877686,0.01,0.016764,0.150085686,0.054,0.015121
117,0.0120457,0.012,0.019024,0.125142174,0.082,0.041867
118,0.00830383,0.009,0.012464,0.121758275,0.075,0.051261
119,0.00168149,0.002,0.005726,0.099308099,0.069,0.020805
120,0.00111084,0.002,0.006851,0.018098682,0.05,0.004974
121,0.00178269,0.002,0.006166,0.023329551,0.038,0.005421
122,0.000811226,0.001,0.006342,0.010871416,0.018000000000000002,0.003231
123,0.00760728,0.008,0.01549,0.134652183,0.062,0.025105
124,0.00252379,0.003,0.007656,0.16065456,0.07200000000000001,0.062505
125,0.00233687,0.003,0.006516,0.109184716,0.10400000000000001,0.061629
126,0.001072,0.001,0.00629,0.01796119,0.061,0.003736
