problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Symbolica
11,0.00234618,0.003,0.012567,0.006802,0.025295566,0.002619
12,0.00205996,0.003,0.011235,0.007317,0.026430101,0.003723
13,0.00197663,0.003,0.011456,0.016686,0.033292646,0.002851
14,0.00210123,0.003,0.012824,0.007057,0.028162953,0.003297
15,0.00261874,0.004,0.013203,0.011972,0.030740237,0.003803
16,0.00203661,0.003,0.011433,0.010362,0.024906273,0.002945
17,0.00181642,0.002,0.010915,0.014237,0.021995795,0.002733
18,0.00219319,0.003,0.011612,0.008003,0.026303142,0.00322
19,0.00174317,0.002,0.012755,0.005189,0.022541698,0.002781
20,0.00286345,0.004,0.013222,0.009516,0.025528247,0.003758
21,0.00219147,0.003,0.011646,0.006995,0.023461427,0.002162
22,0.0022067,0.003,0.012172,0.006894,0.022483331,0.00232
23,0.00306469,0.004,0.013066,0.011826,0.023183435,0.002983
24,0.00204073,0.004,0.013707,0.009382,0.007818045,0.002746
25,0.00308314,0.004,0.015504,0.006315,0.017760824,0.002288
26,0.00159452,0.002,0.01169,0.008794,0.016937497,0.002399
27,0.00271174,0.004,0.012154,0.004867,0.005775454,0.001502
28,0.00265244,0.004,0.012215,0.009658,0.019203249,0.002357
29,0.00238782,0.003,0.013393,0.00516,0.017021678,0.002453
30,0.00138331,0.002,0.013192,0.008588,0.005834013,0.002272
31,0.00255759,0.004,0.016219,0.009362,0.022611248,0.003085
32,0.0018612,0.002,0.01194,0.007217,0.018456428,0.002932
33,0.00179513,0.003,0.011019,0.006674,0.022591714,0.003314
34,0.00389317,0.004,0.012643,0.006022,0.022523831,0.002734
35,0.00298232,0.004,0.011526,0.00427,0.016947095,0.002548
36,0.00211317,0.004,0.013349,0.006786,0.023291977,0.003426
37,0.00189026,0.003,0.012902,0.008123,0.018728696,0.00261
38,0.00177696,0.004,0.013318,0.011369,0.008186939,0.004186
39,0.00166104,0.003,0.008799,0.005505,0.013490969,0.002012
40,0.00316866,0.004,0.010746,0.003801,0.014611324,0.00192
41,0.00188064,0.003,0.011247,0.010403,0.020167994,0.002796
42,0.00161553,0.002,0.009262,0.006417,0.005238727,0.002264
43,0.000320176,0.001,0.009456,0.006032,0.003778822,0.001804
44,0.000426025,0.001,0.011845,0.006587,0.013266568,0.00131
45,0.00293686,0.004,0.012667,0.0061,0.020972459,0.003218
46,0.00180434,0.003,0.012287,0.008677,0.020539438,0.001665
47,0.00201823,0.005,0.013275,0.010418,0.014782179,0.003713
48,0.00234604,0.003,0.011597,0.009175,0.016353947,0.002774
49,0.00241903,0.003,0.011907,0.008154,0.021944609,0.003994
50,0.0022676,0.004,0.012657,0.00763,0.019569953,0.003123
51,0.00234803,0.003,0.012394,0.011147,0.006868324,0.002628
52,0.0023128,0.004,0.01273,0.009037,0.016293699,0.002744
53,0.00255379,0.004,0.013022,0.008685,0.038574192,0.002938
54,0.00222632,0.003,0.011479,0.009237,0.021619372,0.002803
55,0.00255403,0.004,0.012094,0.007948,0.021327671,0.003221
56,0.00239911,0.003,0.012134,0.007338,0.019100367,0.00317
57,0.0025057,0.003,0.013708,0.009654,0.025480048,0.003116
58,0.00162341,0.002,0.01086,0.010587,0.016745005,0.002583
59,0.0018581,0.003,0.013093,0.009059,0.010920865,0.002521
60,0.00172289,0.003,0.013955,0.005822,0.004451616,0.001472
61,0.00227411,0.003,0.011865,0.007179,0.006311478,0.00129
62,0.00166447,0.002,0.010981,0.007986,0.018616722,0.002442
63,0.00180222,0.003,0.012581,0.008231,0.018972651,0.003088
64,0.0024903,0.004,0.013907,0.008342,0.017424349,0.002208
65,0.00228554,0.003,0.011707,0.008561,0.018211073,0.002955
66,0.00340103,0.005,0.014812,0.007314,0.015678988,0.002187
67,0.00216536,0.003,0.013322,0.008886,0.02132531,0.002654
68,0.00231311,0.003,0.013223,0.010004,0.025497459,0.00166
69,0.00138092,0.002,0.008503,0.004305,0.015240688,0.002075
70,0.00207055,0.003,0.009263,0.005212,0.01407529,0.002125
