problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular,Symbolica
11,0.00594286,0.007,0.024015,0.029601,0.058236278,0.213,0.009383
12,0.00375034,0.005,0.017699,0.03206,0.047592605,0.20400000000000001,0.007809
13,0.00446464,0.006,0.020465,0.028818,0.053299828,0.253,0.008997
14,0.00381006,0.006,0.022011,0.025563,0.074846524,1.341,0.007594
15,0.00409818,0.006,0.021729,0.028373,0.050878947,0.215,0.008782
16,0.00369408,0.005,0.016289,0.025072,0.037462224,0.17400000000000002,0.007438
17,0.00443948,0.005,0.017163,0.027358,0.033093318,0.189,0.007057
18,0.00461934,0.005,0.018844,0.028177,0.042943254,0.20400000000000001,0.008772
19,0.00410551,0.005,0.019462,0.024282,0.046903468,0.246,0.008004
20,0.00374637,0.005,0.01568,0.024335,0.040306768,0.182,0.007971
21,0.00461226,0.007,0.024169,0.035058,0.057129403,0.246,0.011687
22,0.00357221,0.005,0.017366,0.030226,0.035600438,1.569,0.008049
23,0.00375692,0.005,0.019232,0.026684,0.03751921,0.21,0.008045
24,0.00475068,0.006,0.021968,0.02917,0.064065804,0.223,0.00764
25,0.0040788,0.004,0.018411,0.026401,0.038416642,1.3860000000000001,0.007633
26,0.00373211,0.005,0.021745,0.031099,0.044267734,1.8820000000000001,0.007953
27,0.00356542,0.005,0.022223,0.027258,0.048852777,0.23700000000000002,0.009327
28,0.00396455,0.006,0.021381,0.02582,0.042671216,1.409,0.007922
29,0.00382329,0.005,0.019764,0.026701,0.037541989,0.229,0.006691
30,0.00291735,0.004,0.014936,0.018197,0.026058532,0.158,0.005818
31,0.0040998,0.005,0.020224,0.032404,0.043084787,1.708,0.007364
32,0.00407509,0.005,0.016868,0.024286,0.036276444,0.188,0.007956
33,0.0038015,0.005,0.022615,0.03844,0.049289381,0.228,0.008945
34,0.00486128,0.006,0.023339,0.031219,0.044146349,0.229,0.009963
35,0.00534801,0.006,0.024503,0.028248,0.044190392,3.219,0.008655
36,0.00472478,0.006,0.019546,0.032725,0.034833042,0.21,0.007726
37,0.00359066,0.004,0.015604,0.028746,0.028554298,0.198,0.0071
