problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
11,0.00382898,0.004,0.017545,0.043000000000000003,0.004467
12,0.00226236,0.004,0.013751,0.062,0.003525
13,0.0044483,0.005,0.014522,0.126,0.00701
14,0.00211334,0.003,0.01269,0.059000000000000004,0.004382
15,0.00422758,0.005,0.014326,0.068,0.007157
16,0.0036085,0.004,0.016043,0.129,0.009033
17,0.0037048,0.005,0.017168,0.105,0.008457
18,0.0033183,0.004,0.019288,0.093,0.008623
19,0.00181765,0.002,0.020502,0.127,0.008963
20,0.0030493,0.004,0.017379,0.076,0.010142
21,0.0023942,0.003,0.013426,0.062,0.005112
22,0.00264694,0.003,0.015059,0.063,0.00705
23,0.00340245,0.004,0.014982,0.066,0.005688
24,0.00199745,0.003,0.011755,0.067,0.007418
25,0.00507931,0.006,0.021252,0.049,0.003878
26,0.00347107,0.004,0.015694,0.11900000000000001,0.008709
27,0.00343837,0.005,0.020775,0.092,0.010041
28,0.00189218,0.004,0.01871,0.069,0.005394
29,0.00314439,0.004,0.021656,0.061,0.007591
30,0.0037817,0.005,0.015544,0.062,0.006902
31,0.00136015,0.002,0.015533,0.057,0.008592
32,0.00386341,0.004,0.015028,0.11900000000000001,0.007479
33,0.00327983,0.004,0.018629,0.06,0.006806
34,0.00264875,0.004,0.019035,0.05,0.01254
35,0.00305103,0.004,0.015454,0.078,0.006844
36,0.00114104,0.002,0.011817,0.07,0.018664
37,0.00327044,0.005,0.018736,0.106,0.011652
38,0.0035976,0.005,0.019461,0.07200000000000001,0.011425
39,0.00192307,0.003,0.014062,0.045,0.005833
40,0.00477012,0.006,0.017329,0.054,0.010647
41,0.00293382,0.005,0.021004,0.093,0.008976
42,0.00365278,0.005,0.017468,0.112,0.005731
43,0.00334603,0.005,0.023012,0.081,0.013366
44,0.00328658,0.005,0.01259,0.047,0.005113
45,0.00817468,0.009,0.021576,0.074,0.008621
46,0.00100559,0.003,0.020979,0.08600000000000001,0.005801
47,0.00454409,0.005,0.014534,0.054,0.004662
48,0.00283497,0.004,0.015128,0.074,0.008105
49,0.00150447,0.002,0.01307,0.052000000000000005,0.006682
50,0.00210469,0.002,0.013104,0.063,0.006442
51,0.00868875,0.01,0.021244,0.074,0.007045
52,0.00397079,0.005,0.016964,0.068,0.00538
53,0.00394989,0.004,0.016563,0.039,0.006965
54,0.00272324,0.004,0.015857,0.07,0.008041
55,0.00194842,0.003,0.016251,0.07100000000000001,0.007052
56,0.000957241,0.002,0.013361,0.052000000000000005,0.005825
57,0.00424274,0.004,0.015014,0.122,0.007256
58,0.00302362,0.005,0.019673,0.128,0.009248
59,0.00307893,0.004,0.018334,0.068,0.007238
60,0.00397531,0.004,0.018451,0.075,0.009879
61,0.00305699,0.003,0.015589,0.044,0.006678
62,0.00336457,0.004,0.017034,0.056,0.00689
63,0.00302564,0.004,0.018306,0.059000000000000004,0.006833
64,0.0043736,0.005,0.018393,0.057,0.007331
65,0.00618308,0.007,0.019263,0.052000000000000005,0.008783
66,0.00362236,0.005,0.015866,0.08600000000000001,0.007906
67,0.00223242,0.003,0.014639,0.153,0.008086
68,0.00201754,0.002,0.012868,0.052000000000000005,0.008232
69,0.00187953,0.002,0.017582,0.10400000000000001,0.00516
70,0.00241025,0.003,0.017648,0.128,0.008034
71,0.00190583,0.003,0.013091,0.059000000000000004,0.005886
72,0.00453241,0.005,0.017047,0.094,0.006095
73,0.00274302,0.004,0.013968,0.068,0.009066
