problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.00306424,0.005,0.02398,0.039680777,0.148,0.454195
12,0.00289657,0.004,0.017744,0.029645249,0.123,0.205962
13,0.00239858,0.004,0.015839,0.02843051,0.113,0.032181
14,0.00267002,0.004,0.024552,0.035222043,0.158,0.107889
15,0.00307003,0.005,0.024548,0.033935238,0.156,0.071254
16,0.0027867,0.005,0.025824,0.038682134,0.14400000000000002,0.83077
17,0.00262795,0.004,0.017644,0.022095354,0.112,0.026463
18,0.0027563,0.004,0.017049,0.020805516,0.133,0.027785
19,0.00396126,0.005,0.023722,0.027809967,0.139,0.10802
20,0.00301634,0.003,0.018371,0.022121375,0.1,0.017957
21,0.00330994,0.005,0.021671,0.026554198,0.148,0.236901
22,0.00342952,0.005,0.019144,0.02721371,0.131,0.242251
23,0.00307518,0.005,0.016913,0.020500233,0.112,0.167613
24,0.003215,0.004,0.019166,0.025199789,0.125,0.077641
25,0.00435068,0.006,0.018236,0.020315257,0.108,0.015468
26,0.00124627,0.002,0.01868,0.030102175,0.135,0.007393
27,0.0026664,0.004,0.020921,0.02771761,0.137,0.075177
28,0.00288469,0.004,0.023361,0.029949578,0.113,0.071867
29,0.00260606,0.003,0.023568,0.029099593,0.153,0.17042
30,0.00299081,0.005,0.017171,0.02168589,0.107,0.049227
31,0.00269634,0.004,0.023406,0.028570304,0.152,0.286504
32,0.00314411,0.004,0.02047,0.021980866,0.116,0.032914
33,0.00305597,0.004,0.024003,0.028640716,0.159,0.080857
34,0.0028706,0.004,0.028062,0.03207818,0.158,0.384388
35,0.00269484,0.004,0.021528,0.029686829,0.162,0.269888
36,0.00256391,0.004,0.01924,0.022838487,0.123,0.234611
37,0.00312125,0.004,0.017453,0.019147318,0.123,0.12414
38,0.00303359,0.004,0.017942,0.020874816,0.115,0.167609
39,0.00258854,0.004,0.019716,0.023636096,0.123,0.095198
40,0.002741,0.004,0.022077,0.031947128,0.14400000000000002,0.040671
41,0.00307581,0.005,0.027012,0.038111426,0.148,0.074765
42,0.00227023,0.003,0.015709,0.018311668,0.10200000000000001,0.105278
43,0.00307474,0.004,0.021822,0.025975921,0.135,0.042895
44,0.00285923,0.004,0.024986,0.030394491,0.157,0.284711
45,0.0031401,0.005,0.02596,0.027822694,0.139,0.430665
46,0.00283033,0.004,0.022502,0.025258332,0.162,0.123501
47,0.00307494,0.004,0.023125,0.033009833,0.157,0.059436
48,0.00341979,0.004,0.017158,0.019632401,0.096,0.025669
49,0.00187412,0.002,0.017579,0.026334297,0.114,0.048423
50,0.00285794,0.004,0.017681,0.023876445,0.111,0.124189
51,0.00269737,0.004,0.018575,0.023180194,0.13,0.026474
52,0.00342336,0.004,0.018941,0.022029384,0.125,0.037747
53,0.00254053,0.004,0.018266,0.024353699,0.125,0.113207
54,0.00274124,0.004,0.019783,0.027911116,0.136,0.088374
55,0.00333317,0.004,0.019042,0.029535573,0.122,0.014324
56,0.00286839,0.004,0.019853,0.022629392,0.122,0.195325
57,0.0031382,0.004,0.018725,0.025794376,0.14400000000000002,0.037032
58,0.00350804,0.005,0.022865,0.025076772,0.12,0.088199
59,0.00194871,0.003,0.017775,0.023379303,0.133,0.379169
60,0.00298385,0.005,0.021153,0.021774958,0.132,0.297898
61,0.00272562,0.004,0.024198,0.029160251,0.16,0.020138
62,0.00269448,0.003,0.020443,0.025181904,0.122,0.024155
63,0.00324446,0.004,0.026247,0.028459105,0.157,0.04228
64,0.00322685,0.005,0.021754,0.033042935,0.151,0.774119
65,0.00287615,0.005,0.021111,0.026668295,0.126,0.135875
66,0.00296594,0.005,0.023659,0.026958853,0.145,0.329386
67,0.0030758,0.004,0.016413,0.019205449,0.108,0.039942
68,0.00326099,0.005,0.02255,0.029481866,0.145,0.071696
69,0.00280679,0.004,0.02045,0.025273239,0.129,0.155658
70,0.00302437,0.004,0.021737,0.026357209,0.153,0.025031
71,0.00288924,0.004,0.017384,0.021312449,0.123,0.116663
72,0.0032697,0.004,0.021832,0.025550492,0.134,0.030037
73,0.00418398,0.006,0.020809,0.024509886,0.106,0.08208
74,0.00268432,0.004,0.019749,0.022225221,0.116,0.097874
75,0.00253963,0.004,0.023555,0.024650954,0.15,0.17125
76,0.00278858,0.003,0.017673,0.022258587,0.136,0.123371
77,0.00299389,0.004,0.021034,0.026425088,0.14400000000000002,0.112962
78,0.00282956,0.004,0.021175,0.025358926,0.148,0.175989
79,0.0030263,0.004,0.019752,0.025940454,0.10200000000000001,0.316587
80,0.00117659,0.002,0.019571,0.025044475,0.116,0.187566
81,0.00270408,0.003,0.020075,0.023577564,0.124,0.106177
82,0.00275174,0.004,0.019109,0.02004009,0.115,0.649469
83,0.00301669,0.004,0.020846,0.029869501,0.126,0.014058
84,0.0034284,0.005,0.022783,0.027621393,0.165,0.029447
85,0.0027469,0.004,0.019156,0.024221284,0.135,0.330192
86,0.0012415,0.002,0.018959,0.024397016,0.14300000000000002,0.075238
87,0.00271565,0.003,0.016804,0.023120983,0.109,0.326306
88,0.00249382,0.004,0.02148,0.023844097,0.135,0.105645
89,0.00295065,0.004,0.023857,0.032718866,0.159,0.073979
90,0.00281572,0.004,0.027641,0.030418555,0.149,0.062242
91,0.00294376,0.004,0.022213,0.026474562,0.135,0.068166
92,0.00331974,0.004,0.019102,0.020003138,0.105,0.339074
93,0.00327017,0.004,0.023905,0.028877538,0.147,0.062259
94,0.00288993,0.004,0.02622,0.028923269,0.147,0.019378
95,0.00334693,0.005,0.019318,0.024999961,0.133,0.067444
96,0.00279783,0.005,0.024588,0.02992777,0.151,0.151647
97,0.00303984,0.004,0.021323,0.024855407,0.138,0.338157
98,0.00287032,0.004,0.024492,0.029517813,0.157,0.102118
99,0.00346036,0.005,0.020599,0.029494552,0.125,0.047527
100,0.00293096,0.004,0.015823,0.017207833,0.101,0.029498
101,0.00273085,0.004,0.018966,0.021473357,0.121,0.033333
102,0.00248713,0.003,0.014983,0.017805616,0.112,0.115606
103,0.00271853,0.004,0.022434,0.024587521,0.131,0.054332
104,0.00284099,0.004,0.022979,0.02500463,0.122,0.232586
105,0.00276808,0.004,0.020428,0.023175073,0.114,0.034661
106,0.000738069,0.002,0.018136,0.023517729,0.126,0.020117
107,0.00340999,0.005,0.021419,0.026866274,0.132,0.182235
108,0.00306002,0.004,0.025151,0.026622766,0.14300000000000002,0.278619
109,0.00256563,0.004,0.022382,0.030249659,0.154,0.122299
110,0.00270455,0.004,0.018829,0.025013769,0.12,0.111489
111,0.00298962,0.004,0.023404,0.0260834,0.146,0.081811
112,0.00281353,0.004,0.022261,0.023607017,0.15,0.063134
113,0.00506138,0.006,0.02157,0.025180758,0.127,0.097231
114,0.00259909,0.004,0.02443,0.027173735,0.159,0.037233
115,0.00282221,0.004,0.02085,0.024097282,0.135,0.009025
116,0.00129502,0.002,0.017029,0.021381791,0.10400000000000001,0.191884
117,0.00316577,0.004,0.02322,0.026669006,0.133,0.137845
118,0.00284623,0.004,0.018522,0.021738836,0.116,0.009816
119,0.00296414,0.003,0.018106,0.022355816,0.122,0.039151
120,0.00268541,0.004,0.019225,0.024842575,0.121,0.132985
121,0.00287281,0.004,0.018922,0.021535857,0.132,0.374394
122,0.00286158,0.004,0.024026,0.025560644,0.14300000000000002,0.088394
123,0.00258111,0.003,0.020976,0.02445944,0.12,0.307335
