problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Symbolica
11,0.00262699,0.004,0.017643,0.023233,0.035657867,0.005269
12,0.00318302,0.005,0.026071,0.039027,0.042485027,0.008901
13,0.00233948,0.004,0.019326,0.024222,0.009615508,0.002347
14,0.00294499,0.005,0.024578,0.029521,0.051393066,0.006794
15,0.00285466,0.004,0.023516,0.01443,0.04025654,0.004074
16,0.00288612,0.005,0.02186,0.012616,0.03587239,0.00518
17,0.00356576,0.005,0.025461,0.019924,0.038382264,0.007575
18,0.00283181,0.004,0.024732,0.041506,0.041545697,0.008242
19,0.00273331,0.005,0.025078,0.021446,0.033070462,0.006778
20,0.00278423,0.005,0.025461,0.072061,0.035727249,0.002808
21,0.00299071,0.005,0.024955,0.02776,0.03404117,0.00323
22,0.00219605,0.004,0.015556,0.011276,0.011677447,0.001524
23,0.00388336,0.006,0.028572,0.023185,0.036177225,0.006343
24,0.00253834,0.003,0.018634,0.019767,0.007065978,0.002979
25,0.00318756,0.005,0.021707,0.016336,0.035475447,0.00746
26,0.00335707,0.005,0.020514,0.027473,0.037175355,0.007659
27,0.00442661,0.005,0.030011,0.035439,0.039602169,0.007484
28,0.00230284,0.005,0.021753,0.023926,0.008564378,0.006805
29,0.00258306,0.004,0.020998,0.027024,0.032058178,0.006822
30,0.0039762,0.006,0.025575,0.022373,0.038456875,0.00499
31,0.00300187,0.004,0.020574,0.025864,0.03133498,0.006417
32,0.00342682,0.005,0.024648,0.028376,0.040768168,0.008649
33,0.00344758,0.004,0.024202,0.024019,0.02256363,0.002942
34,0.00289484,0.004,0.02299,0.030089,0.035525891,0.009308
35,0.00301073,0.005,0.022709,0.033691,0.031900303,0.007318
36,0.00295072,0.005,0.019186,0.028929,0.028237728,0.003352
37,0.00276918,0.004,0.022025,0.019977,0.035521252,0.006365
38,0.0031798,0.005,0.023089,0.027489,0.032746833,0.005822
39,0.00309032,0.005,0.023672,0.018225,0.034503752,0.006489
40,0.00295683,0.004,0.02257,0.021239,0.008787721,0.005367
41,0.00356195,0.005,0.024371,0.023655,0.035010112,0.006987
42,0.00247804,0.004,0.021284,0.019889,0.033596242,0.006457
43,0.00314517,0.005,0.024921,0.019315,0.0260435,0.00266
44,0.00282646,0.005,0.022999,0.023459,0.031813732,0.006386
45,0.003339,0.005,0.024564,0.025215,0.038113844,0.00845
46,0.00419035,0.005,0.030443,0.036069,0.041707803,0.007232
47,0.00283166,0.004,0.020053,0.036467,0.007625335,0.002154
48,0.00265491,0.004,0.020545,0.022067,0.028906449,0.007007
49,0.00291674,0.004,0.022574,0.044959,0.031944261,0.006972
50,0.0025578,0.004,0.017235,0.024513,0.033489533,0.002447
51,0.00299566,0.005,0.019738,0.026034,0.032890032,0.006358
52,0.00319789,0.005,0.023676,0.010663,0.031639235,0.005561
53,0.00268971,0.004,0.024026,0.026454,0.007778412,0.002431
54,0.00254225,0.003,0.020014,0.016931,0.017151653,0.002096
55,0.00240109,0.004,0.023491,0.033099,0.00885858,0.005413
56,0.00288663,0.005,0.023057,0.030855,0.035591112,0.008303
57,0.00260962,0.004,0.018171,0.022317,0.006915081,0.004284
58,0.00338999,0.005,0.024702,0.031544,0.037770301,0.007008
59,0.00311545,0.004,0.021931,0.017596,0.022912715,0.007604
60,0.00393307,0.005,0.023671,0.026093,0.038889585,0.007327
61,0.00209528,0.003,0.019963,0.013768,0.026033776,0.005206
62,0.00374726,0.005,0.0275,0.020158,0.036380697,0.006554
63,0.0032953,0.005,0.022543,0.031287,0.037563673,0.008898
64,0.00245917,0.003,0.018818,0.025909,0.028340898,0.006731
65,0.00272283,0.005,0.02092,0.010837,0.032009048,0.007641
66,0.00317835,0.005,0.027967,0.014899,0.033196576,0.007141
67,0.00276806,0.004,0.022943,0.023909,0.029589686,0.005284
68,0.00221261,0.003,0.018093,0.020616,0.027534648,0.006511
69,0.00311373,0.005,0.025175,0.020712,0.035636625,0.008302
70,0.00261179,0.004,0.01753,0.018749,0.028081151,0.005693
71,0.00218098,0.004,0.015649,0.01071,0.023596942,0.005589
72,0.00350663,0.004,0.025448,0.02244,0.020336593,0.004924
