problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
11,0.00377789,0.005,0.017723,0.042,0.003978
12,0.00238203,0.004,0.013994,0.063,0.004091
13,0.00463799,0.005,0.01457,0.131,0.006046
14,0.00221288,0.003,0.012657,0.06,0.005097
15,0.00436432,0.005,0.014137,0.067,0.006968
16,0.00376163,0.004,0.016264,0.136,0.009469
17,0.00376578,0.004,0.016964,0.076,0.009231
18,0.00355215,0.004,0.019437,0.085,0.009717
19,0.00195473,0.003,0.020497,0.097,0.009131
20,0.00320866,0.004,0.017396,0.075,0.009606
21,0.00248763,0.004,0.013407,0.063,0.008246
22,0.0026758,0.004,0.01524,0.062,0.006574
23,0.00362734,0.005,0.014881,0.28500000000000003,0.006572
24,0.002011,0.002,0.011897,0.059000000000000004,0.005533
25,0.00511897,0.006,0.021466,0.063,0.003951
26,0.0036283,0.004,0.015951,0.094,0.009396
27,0.00362739,0.005,0.020992,0.091,0.011187
28,0.0018929,0.004,0.01904,0.069,0.005671
29,0.0030886,0.004,0.021783,0.067,0.007515
30,0.00394183,0.005,0.015617,0.064,0.007265
31,0.00136835,0.002,0.015591,0.06,0.008255
32,0.00385195,0.004,0.01515,0.069,0.007374
33,0.00350802,0.004,0.018728,0.059000000000000004,0.007165
34,0.00266203,0.004,0.019103,0.055,0.01097
35,0.00310154,0.003,0.015539,0.079,0.00692
36,0.00116296,0.001,0.012118,0.067,0.019735
37,0.00342043,0.004,0.018918,0.136,0.009143
38,0.00376978,0.005,0.019677,0.07,0.012297
39,0.0020266,0.002,0.014168,0.045,0.005165
40,0.00480544,0.006,0.017381,0.08,0.010315
41,0.00309947,0.005,0.021135,0.096,0.007936
42,0.003829,0.005,0.017597,0.058,0.006022
43,0.00349477,0.005,0.023056,0.084,0.012086
44,0.00343578,0.005,0.012741,0.047,0.005081
45,0.00810011,0.009,0.021749,0.076,0.008101
46,0.00107182,0.003,0.021267,0.08700000000000001,0.006194
47,0.00455682,0.006,0.014718,0.052000000000000005,0.004967
48,0.00297281,0.004,0.015285,0.078,0.007891
49,0.0015637,0.003,0.013264,0.05,0.005461
50,0.00214948,0.003,0.013203,0.063,0.006398
51,0.00849116,0.01,0.021314,0.073,0.007373
52,0.0041382,0.005,0.017108,0.065,0.005529
