problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.000567476,0.801,0.008335,0.031414079,0.036000000000000004,0.00539
12,0.00159794,6.414,0.012361,0.04926238,0.304,0.008605
13,0.000954085,4.284,0.007921,0.032945216,0.105,0.00737
14,0.00273441,29.756,0.011131,0.212206937,0.169,0.089703
15,0.0180157,6.046,0.029251,0.234660559,0.151,0.043793
16,0.00208185,0.94,0.010048,0.098665663,0.097,0.032845
17,0.00064952,1.769,0.006505,0.016972261,0.041,0.003409
18,0.000485654,10.766,0.008057,0.019681176,0.07200000000000001,0.005027
19,0.00456485,4.342,0.010684,0.138397993,0.213,0.061981
20,0.00131571,7.12,0.00807,0.026945178,0.166,0.005827
21,0.00092792,31.546,0.007634,0.029001401,0.067,0.002961
22,0.00052762,7.174,0.006211,0.025503629,0.047,0.003524
23,0.000740374,1.068,0.010955,0.038832541,0.031,0.009566
24,0.000677366,3.795,0.009021,0.032574479,0.065,0.00781
25,0.000675413,3.864,0.008291,0.017850799,0.148,0.005208
26,0.000652623,2.535,0.008876,0.021681697,0.10400000000000001,0.005213
27,0.0487893,2.129,0.065363,0.136396951,0.171,0.043077
28,0.0145373,0.912,0.025637,3.294501299,0.291,0.035273
29,0.00234669,11.882,0.009631,0.122101469,0.129,0.059911
30,0.000726189,4.066,0.008495,0.034024548,0.148,0.003333
31,0.000542419,3.984,0.007476,0.009695753,0.085,0.004689
32,0.00074899,6.434,0.0095,0.022849056,0.031,0.007699
33,0.00048099,1.537,0.006009,0.010213025,0.077,0.002253
34,0.000543807,5.124,0.007378,0.014956378,0.043000000000000003,0.004223
35,0.000685815,0.604,0.010629,0.016211128,0.053,0.003994
36,0.000557533,0.214,0.007362,0.032833349,0.056,0.004644
37,0.00517558,2.735,0.015611,0.81940167,0.192,0.085374
38,0.000615734,6.667,0.009918,0.038506043,0.042,0.010018
39,0.00485472,5.315,0.012532,0.160156022,5.322,0.080839
40,0.0119557,8.872,0.021365,0.190401454,0.183,0.084619
41,0.00912266,0.702,0.021617,0.130953593,0.146,0.023062
42,0.00175283,9.313,0.010654,0.039699377,23.013,0.011192
43,0.00093333,6.759,0.012126,0.040241626,0.042,0.004554
44,0.0150205,2.291,0.022003,0.132922491,0.11,0.042614
45,0.0018851,3.398,0.012276,0.029405362,3.217,0.007293
46,0.00243636,2.743,0.011085,0.183184972,0.171,0.05186
47,0.00395997,1.218,0.011427,0.110074871,0.14200000000000002,0.147009
48,0.00470345,4.066,0.014143,0.149883077,0.192,0.135214
49,0.000578377,5.486,0.009417,0.016697783,0.07100000000000001,0.004539
50,0.000661088,15.802,0.008018,0.015613656,0.313,0.003924
51,0.00110937,4.451,0.009349,0.034304864,0.051000000000000004,0.007154
52,0.000832626,4.651,0.008896,0.031632071,0.101,0.009746
53,0.000650854,4.047,0.008505,0.014374835,0.154,0.005581
54,0.00835075,7.97,0.016741,0.197159929,0.129,0.060988
55,0.000749262,4.514,0.008775,0.019480145,0.10300000000000001,0.007226
56,0.00271166,3.444,0.011426,0.160907185,0.1,0.029497
57,0.000852906,0.716,0.008587,0.031901197,0.067,0.006176
58,0.00111788,3.233,0.008032,0.032231195,1.356,0.007717
59,0.00433268,3.397,0.013945,0.187674497,0.14200000000000002,0.038075
60,0.000663247,3.345,0.008064,0.007175685,0.12,0.002494
61,0.0181969,0.309,0.029484,0.166588574,0.163,0.060957
62,0.00428356,0.533,0.011361,0.09589838,0.117,0.033231
63,0.00462592,11.385,0.015466,0.190326862,0.156,0.083084
64,0.000847878,1.678,0.012357,0.023840007,0.052000000000000005,0.003947
65,0.000508507,13.587,0.007986,0.013973365,0.078,0.002305
66,0.00239085,3.762,0.009937,0.151770262,0.162,0.076499
67,0.00934393,4.869,0.017394,0.182294307,0.181,0.095617
