problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular,Symbolica
11,0.000361394,0.022,0.034343,0.039479,0.004237367,0.048,0.001146
12,0.000302074,0.016,0.027912,0.032072,0.003067603,0.029,0.000942
13,0.000265356,0.011,0.025689,0.071181,0.003281214,0.265,0.000835
14,0.000307153,0.016,0.027936,0.083821,0.004000526,0.34,0.000971
15,0.000284045,0.012,0.026273,0.054393,0.003800945,0.334,0.000891
16,0.000350454,0.016,0.03284,0.065009,0.004727717,0.037,0.001122
17,0.000249677,0.01,0.022248,0.070133,0.00316876,0.024,0.000782
18,0.000330853,0.019,0.031657,0.034022,0.003497714,0.035,0.001039
19,0.000264915,0.009,0.025109,0.06958,0.003145839,0.028,0.000832
20,0.000354032,0.019,0.034675,0.062296,0.004196988,0.038,0.001128
21,0.000338462,0.013,0.030198,0.081672,0.003554338,0.036000000000000004,0.001074
22,0.000307017,0.014,0.029031,0.084556,0.003405216,0.033,0.000959
23,0.000285289,0.013,0.026061,0.061944,0.003134712,0.035,0.000901
24,0.000280054,0.016,0.025187,0.074777,0.002855515,0.034,0.000868
25,0.000365375,0.016,0.034629,0.085334,0.004114246,0.22,0.001159
26,0.000348174,0.016,0.032438,0.085445,0.004024363,0.037,0.001102
27,0.000315533,0.017,0.028884,0.031006,0.003308949,0.034,0.00099
28,0.000244625,0.009,0.023087,0.076728,0.002657061,0.027,0.000766
29,0.000316803,0.015,0.031074,0.089882,0.00379321,0.034,0.001002
30,0.000342035,0.013,0.030649,0.087448,0.005900097,0.033,0.001081
31,0.000336904,0.014,0.032865,0.081256,0.002937203,0.035,0.001071
32,0.000297426,0.016,0.02667,0.063285,0.002765961,0.032,0.000936
33,0.000349733,0.017,0.030795,0.096545,0.002979127,0.035,0.001097
34,0.000339425,0.017,0.032135,0.033668,0.002619911,0.034,0.00107
35,0.000321141,0.014,0.030395,0.090739,0.002884372,0.033,0.001008
36,0.000246186,0.009,0.022235,0.026591,0.001793511,0.028,0.000758
37,0.00029738,0.013,0.027902,0.034517,0.001899293,0.028,0.000917
38,0.000305516,0.013,0.029635,0.083916,0.002615128,0.337,0.000958
39,0.000273052,0.016,0.024881,0.027845,0.001933868,0.029,0.000839
40,0.000291772,0.012,0.026906,0.086828,0.002568261,0.029,0.000923
41,0.00029321,0.011,0.027518,0.031679,0.001934214,0.028,0.000897
42,0.000301709,0.012,0.029028,0.086494,0.002569634,0.032,0.000944
43,0.000287276,0.009,0.027237,0.08051,0.002349073,0.029,0.000903
44,0.000280601,0.012,0.025874,0.07391,0.002302052,0.03,0.000884
45,0.00031804,0.016,0.03062,0.028493,0.002324184,0.032,0.001002
46,0.000327125,0.013,0.030063,0.083142,0.002966272,0.226,0.001022
47,0.00034646,0.016,0.033316,0.094186,0.002753985,0.356,0.001086
48,0.000332393,0.016,0.031546,0.061856,0.00289795,0.036000000000000004,0.001059
49,0.000279757,0.014,0.025186,0.05364,0.002365132,0.311,0.000877
50,0.000321138,0.018,0.030306,0.035063,0.002463941,0.031,0.001009
51,0.000334566,0.014,0.032849,0.09084,0.003017877,0.04,0.001053
52,0.000291722,0.011,0.026521,0.068039,0.002540596,0.292,0.000896
53,0.000308651,0.013,0.030084,0.034005,0.002227994,0.032,0.000962
54,0.000280594,0.016,0.023365,0.078989,0.002449944,0.029,0.000869
55,0.000310882,0.013,0.029439,0.032211,0.002373073,0.032,0.00097
56,0.000313287,0.015,0.030433,0.07599,0.002539623,0.034,0.000983
57,0.000300104,0.016,0.028094,0.091147,0.002360383,0.32,0.000944
58,0.000337202,0.016,0.032944,0.083328,0.002940718,0.035,0.001068
59,0.000272279,0.011,0.025212,0.070648,0.002211829,0.027,0.000848
60,0.000288313,0.014,0.027489,0.070853,0.002476936,0.032,0.000911
61,0.000308373,0.016,0.028207,0.075216,0.002894257,0.03,0.000982
62,0.000300259,0.012,0.028061,0.081489,0.002506145,0.17400000000000002,0.000937
63,0.000309462,0.016,0.029419,0.080948,0.002602622,0.343,0.000976
64,0.000352613,0.016,0.031783,0.085225,0.003008757,0.319,0.001082
65,0.000278855,0.011,0.025862,0.073809,0.002405663,0.147,0.000868
66,0.000298849,0.011,0.027853,0.032835,0.002428051,0.032,0.000944
67,0.00037715,0.018,0.035009,0.094815,0.003315046,0.038,0.001199
68,0.000322125,0.018,0.0315,0.09171,0.002754107,0.034,0.001016
69,0.000295292,0.01,0.028009,0.081622,0.002556021,0.312,0.000919
70,0.000343311,0.018,0.032998,0.035199,0.002583547,0.036000000000000004,0.001075
71,0.000329077,0.014,0.031475,0.030977,0.002372721,0.034,0.001027
72,0.000320436,0.015,0.031184,0.055922,0.002788819,0.034,0.00102
73,0.000335087,0.019,0.032028,0.096292,0.002972756,0.035,0.001058
74,0.000327687,0.015,0.030594,0.033513,0.002831332,0.035,0.001033
75,0.000262397,0.009,0.022902,0.068753,0.00213515,0.278,0.000814
