problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
11,0.00376549,0.248,0.017605,0.042,0.004908
12,0.00237577,0.202,0.014047,0.061,0.0045
13,0.00468455,0.334,0.014546,0.121,0.006623
14,0.00276966,0.063,0.012573,0.059000000000000004,0.005032
15,0.00443892,0.141,0.014051,0.066,0.009421
16,0.00375625,0.516,0.016053,0.131,0.010449
17,0.00375065,1.145,0.016718,0.077,0.011678
18,0.00352335,0.505,0.019039,0.078,0.010352
19,0.00197142,0.48,0.020264,0.116,0.01044
20,0.00322053,0.253,0.017122,0.076,0.012625
21,0.00249107,0.359,0.013483,0.067,0.01112
22,0.00268257,0.639,0.014822,0.062,0.007988
23,0.00362979,0.213,0.014709,0.26,0.00616
24,0.00202589,0.233,0.011697,0.06,0.006681
25,0.00511663,0.442,0.021144,0.063,0.005067
26,0.00362585,0.79,0.015694,0.162,0.011136
27,0.00365406,0.451,0.020814,0.092,0.012286
28,0.001911,0.269,0.018836,0.069,0.006381
29,0.0031503,0.203,0.021487,0.063,0.007282
30,0.003954,0.288,0.015483,0.065,0.008737
31,0.00133417,0.5,0.015455,0.056,0.009448
32,0.00382815,0.449,0.01486,0.121,0.008869
33,0.00345645,0.997,0.018498,0.06,0.008387
34,0.00259032,0.361,0.019032,0.055,0.013662
35,0.00309579,0.044,0.015295,0.082,0.009085
36,0.00116022,0.238,0.011852,0.069,0.020836
37,0.00341848,0.547,0.018585,0.107,0.009809
38,0.00375578,0.409,0.019413,0.068,0.013403
39,0.00201762,0.641,0.014029,0.046,0.006358
40,0.00475901,0.168,0.017074,0.084,0.013832
41,0.00308078,0.186,0.020983,0.093,0.00774
42,0.00378558,0.434,0.017424,0.058,0.006643
43,0.00347646,0.934,0.023041,0.08,0.01385
44,0.00345174,0.019,0.01267,0.046,0.006281
45,0.00798643,0.65,0.021313,0.08,0.00984
46,0.0010437,0.235,0.021117,0.08700000000000001,0.006608
47,0.00449732,0.197,0.014524,0.054,0.00625
48,0.00296613,0.194,0.015005,0.077,0.008645
49,0.00153503,0.582,0.012942,0.052000000000000005,0.007281
50,0.00214122,0.368,0.012798,0.058,0.006167
51,0.00847768,0.555,0.021105,0.075,0.007886
52,0.00411328,0.107,0.017072,0.065,0.005913
53,0.00409657,0.32,0.016397,0.039,0.007274
54,0.00283136,0.26,0.015781,0.066,0.010047
55,0.00204688,0.595,0.01618,0.07,0.007125
56,0.000989038,0.199,0.013306,0.054,0.006529
57,0.00438617,0.355,0.014959,0.131,0.007306
58,0.00305878,0.644,0.019378,0.098,0.010792
59,0.00306949,0.231,0.018554,0.065,0.008487
60,0.00412142,0.629,0.018376,0.077,0.009672
61,0.0031893,0.281,0.015456,0.045,0.007202
62,0.00350809,0.294,0.016914,0.056,0.007374
63,0.0031425,0.506,0.01818,0.06,0.008344
64,0.00426822,0.286,0.018373,0.056,0.007601
65,0.00598349,0.247,0.019273,0.052000000000000005,0.008915
66,0.00380172,0.268,0.015804,0.08600000000000001,0.009206
67,0.00223234,0.234,0.014637,0.084,0.010173
68,0.00201394,0.385,0.012647,0.045,0.009388
69,0.00203364,0.562,0.017399,0.089,0.005797
70,0.00241386,0.419,0.017414,0.11900000000000001,0.008668
71,0.00201868,0.616,0.013149,0.058,0.006447
72,0.00471083,0.493,0.017008,0.098,0.006559
73,0.00275138,0.17,0.013892,0.061,0.008911
74,0.00290048,0.659,0.019144,0.273,0.010345
75,0.00324578,0.182,0.020754,0.095,0.010696
76,0.00832381,0.289,0.023795,0.07,0.008069
77,0.00136543,0.445,0.013249,0.08700000000000001,0.008162
78,0.00894084,0.401,0.019615,0.062,0.011836
79,0.0034601,0.544,0.015354,0.059000000000000004,0.007191
80,0.00703764,0.678,0.01803,0.069,0.00963
81,0.00597649,0.208,0.014379,0.035,0.007197
82,0.00228581,0.412,0.013459,0.092,0.005309
83,0.00771086,0.21,0.019336,0.062,0.007647
84,0.00212011,0.204,0.016326,0.058,0.006764
85,0.00840109,0.395,0.021895,0.054,0.011838
86,0.00492442,0.589,0.022261,0.057,0.009882
87,0.00406641,0.24,0.019399,0.131,0.007959
88,0.00349213,0.721,0.019374,0.068,0.010707
89,0.00184724,0.679,0.014855,0.08,0.008874
90,0.00354932,0.364,0.016994,0.067,0.009616
91,0.00255803,0.691,0.016312,0.06,0.006041
92,0.0034481,0.191,0.015553,0.069,0.008056
93,0.00313474,0.067,0.020441,0.076,0.007138
94,0.00424386,0.155,0.014587,0.038,0.007563
95,0.00355791,0.53,0.019755,0.081,0.006582
96,0.00146384,0.196,0.011408,0.051000000000000004,0.008128
97,0.00305657,0.3,0.016436,0.169,0.015271
98,0.00431101,0.358,0.014991,0.24,0.011026
99,0.0034954,0.71,0.01437,0.053,0.009841
100,0.00238758,0.157,0.018277,0.11900000000000001,0.007704
101,0.00352264,0.427,0.02055,0.052000000000000005,0.008094
102,0.00350177,0.317,0.018713,0.07100000000000001,0.007663
103,0.00387659,0.725,0.015768,0.107,0.006629
104,0.00271893,0.492,0.023923,0.047,0.005942
105,0.0036363,0.23,0.014041,0.062,0.006232
106,0.00347361,0.389,0.015233,0.10400000000000001,0.007489
107,0.00626208,0.298,0.016477,0.036000000000000004,0.008908
108,0.00340972,0.279,0.015453,0.053,0.00874
109,0.00333856,0.861,0.01706,0.08600000000000001,0.010477
110,0.00500418,0.479,0.016338,0.07,0.007999
111,0.00392851,0.17,0.012253,0.038,0.009331
112,0.0040244,0.172,0.010449,0.074,0.007555
113,0.00304783,0.092,0.018083,0.073,0.006319
114,0.00190273,0.097,0.015305,0.057,0.008539
115,0.00312093,0.125,0.017133,0.059000000000000004,0.007732
116,0.00420024,0.229,0.018135,0.064,0.006091
117,0.00247557,0.386,0.015885,0.075,0.008158
118,0.00338693,0.61,0.016981,0.051000000000000004,0.006914
119,0.00343726,0.211,0.018053,0.09,0.009448
120,0.00329069,0.089,0.014095,0.057,0.008799
121,0.00430419,0.377,0.021133,0.084,0.014264
122,0.00289228,0.163,0.014203,0.048,0.007231
123,0.00365409,0.818,0.016138,0.066,0.007296
124,0.00344301,0.232,0.018139,0.14400000000000002,0.010543
125,0.0031129,0.356,0.01579,0.046,0.006898
126,0.00357536,0.957,0.018935,0.057,0.009555
127,0.00120337,0.15,0.015622,0.061,0.009821
128,0.00368433,0.175,0.016465,0.066,0.00517
129,0.00346402,0.254,0.016356,0.056,0.010281
130,0.00399573,0.663,0.016035,0.089,0.007416
131,0.00608593,0.244,0.017143,0.052000000000000005,0.006981
132,0.00350447,0.414,0.017633,0.074,0.006304
133,0.00257046,2.075,0.018771,0.097,0.010098
134,0.00232699,0.5,0.013897,0.055,0.01128
135,0.00367424,0.473,0.017169,0.067,0.009117
136,0.00387212,0.191,0.016174,0.08,0.007834
137,0.00406089,0.33,0.018434,0.063,0.010884
138,0.00362993,1.038,0.017701,0.056,0.012226
139,0.00214811,0.499,0.014763,0.057,0.01033
140,0.00373224,0.289,0.019143,0.061,0.014171
141,0.00220972,0.706,0.015497,0.07100000000000001,0.007692
142,0.00161853,0.297,0.014218,0.032,0.003144
143,0.00194213,0.765,0.011408,0.053,0.006601
144,0.00232207,0.286,0.012654,0.041,0.006053
145,0.00843162,0.162,0.022701,0.203,0.011647
146,0.00315641,0.091,0.019398,0.082,0.007769
147,0.00820676,0.642,0.021752,0.057,0.009921
148,0.00350755,0.358,0.015295,0.055,0.010132
149,0.00233575,0.119,0.015542,0.085,0.011094
150,0.00236616,0.195,0.019726,0.057,0.008003
151,0.00348974,0.603,0.019171,0.074,0.008981
152,0.00268807,0.617,0.014488,0.062,0.009976
153,0.00169771,0.196,0.014129,0.056,0.005409
154,0.00389003,0.258,0.015213,0.052000000000000005,0.007105
155,0.00376331,0.25,0.016643,0.066,0.009307
