problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Symbolica
11,0.0026095,1.262,0.017917,0.020498,0.036354776,0.006467
12,0.00314177,0.012,0.026552,0.039713,0.04323524,0.010634
13,0.00231993,0.029,0.019845,0.024732,0.009640268,0.002413
14,0.00293276,0.006,0.025059,0.03038,0.052582753,0.008237
15,0.00284173,7.128,0.024022,0.014604,0.041053964,0.004742
16,0.00286357,3.021,0.02221,0.012913,0.03575883,0.006146
17,0.00351722,0.035,0.025961,0.020134,0.038862576,0.009219
18,0.00281755,14.556,0.025336,0.042277,0.041345878,0.009911
19,0.00271753,4.74,0.025226,0.021589,0.033320581,0.00814
20,0.00276174,19.841,0.025171,0.073656,0.03671422,0.002957
21,0.00295802,12.821,0.02502,0.033173,0.03400901,0.003445
22,0.00216792,0.005,0.015581,0.011409,0.011424105,0.001548
23,0.00383639,31.027,0.028683,0.023499,0.035726647,0.007717
24,0.0024985,0.005,0.018851,0.019637,0.007153581,0.003196
25,0.00315726,0.121,0.021967,0.016644,0.035858964,0.009323
26,0.00333732,6.757,0.020984,0.025018,0.037425347,0.009291
27,0.00438833,33.349,0.030501,0.042478,0.040441358,0.00914
28,0.0022813,0.009,0.02129,0.025057,0.008450293,0.008014
29,0.00254591,0.008,0.020997,0.031078,0.034803499,0.008249
30,0.00392346,0.892,0.025762,0.022615,0.039206856,0.0058
31,0.00297679,10.365,0.020939,0.026341,0.031462606,0.008084
32,0.00339923,10.233,0.024718,0.029488,0.040737722,0.011149
33,0.00344269,0.006,0.024212,0.024314,0.022858391,0.003362
34,0.00286315,5.652,0.023182,0.030463,0.035579443,0.011793
35,0.00299656,14.381,0.023282,0.01928,0.032018766,0.008963
36,0.0029368,1.543,0.01966,0.025452,0.028899514,0.003971
37,0.00276119,4.566,0.021962,0.020288,0.035549135,0.007935
38,0.00316284,10.201,0.023213,0.027843,0.032488591,0.007254
39,0.00306157,4.417,0.024104,0.018547,0.035597122,0.008089
40,0.00291946,0.011,0.023006,0.02157,0.009040313,0.00631
41,0.00353517,7.066,0.024516,0.024012,0.03532421,0.008727
42,0.00247822,1.237,0.021376,0.020044,0.033982651,0.008081
43,0.0031119,1.303,0.025215,0.019589,0.026345245,0.002937
44,0.00280329,12.233,0.023435,0.023866,0.031933222,0.007924
45,0.0032981,9.963,0.024436,0.025345,0.038672502,0.01064
46,0.00414979,0.051,0.030562,0.036614,0.042181342,0.008995
47,0.00280098,1.001,0.020036,0.036714,0.007663823,0.002244
48,0.00264087,3.819,0.020774,0.022671,0.029308756,0.008222
49,0.00290498,4.409,0.022841,0.025222,0.032157133,0.00877
50,0.00253802,0.052,0.017269,0.024781,0.033626527,0.002729
51,0.00296868,4.199,0.019786,0.026367,0.033525058,0.007959
52,0.00317397,1.85,0.023648,0.010779,0.032012161,0.007095
53,0.00268346,12.431,0.024471,0.026824,0.008171573,0.002569
54,0.00252866,0.008,0.020297,0.017179,0.017532267,0.002358
55,0.00238701,3.973,0.023386,0.033599,0.008875704,0.00667
56,0.00286423,0.041,0.023385,0.031511,0.036104708,0.010004
57,0.00258295,0.801,0.018259,0.022699,0.007035171,0.005285
58,0.00334531,12.822,0.024783,0.025754,0.037274587,0.008936
59,0.00308078,2.124,0.022507,0.017923,0.022926505,0.009441
60,0.00386233,5.088,0.023708,0.02649,0.039324267,0.009349
61,0.00208352,2.633,0.020465,0.013966,0.026316891,0.006497
62,0.00372312,7.522,0.027704,0.020533,0.037017044,0.007987
63,0.00327052,6.673,0.022754,0.031766,0.037644242,0.010494
